start	end	text
0	6000	Hello, everyone. Welcome to today's TaroTalk.
6000	9000	Today, we have Dr. Su Gongyi with us.
9000	11000	This is the first time I've called him that.
11000	17000	He's going to talk to us about his research in Caltech.
17000	22000	Today's topic is Cosmic Rays or Turbulence Can Suppress Cooling Flow
22000	26000	Where Thermal Heating, Momentum Injection, or Non-HGN Solutions Fail.
26000	29000	Let's get started.
30000	33000	Hello, everyone.
33000	38000	I'm going to talk about Cosmic Rays or Turbulence Can Suppress Cooling Flow.
38000	42000	This is my research in Caltech.
42000	44000	This is my co-author.
44000	46000	I'll start with the cooling flow problem.
46000	50000	In a large galaxy or galaxy cluster,
50000	55000	we usually observe very strong X-ray luminosity.
55000	58000	This means there's a lot of gas emitting a lot of energy.
58000	63000	This means there's a lot of gas emitting a lot of energy.
63000	65000	So a lot of gas is getting colder.
65000	73000	So we should expect to find a lot of cold gas in the middle of the galaxy.
73000	79000	But in fact, we can't find that much cold gas.
79000	81000	So where does that gas go?
81000	87000	The gas may be getting colder and colder.
87000	90000	And then there's a lot of stars.
90000	92000	There's a lot of star formation.
92000	94000	But on the other hand, we find that
94000	98000	these big galaxies or galaxy clusters
98000	102000	have very low star formation rates.
102000	105000	They're basically all been crunched.
105000	108000	So this tells us
108000	112000	that there must be something
112000	114000	that generates heat
114000	117000	to re-heat these gases.
117000	119000	Otherwise, based on so many
119000	123000	inferred cooling flow rates,
123000	126000	we can't consistently find
126000	130000	so little cold gas or stars.
130000	134000	So this is the problem.
134000	137000	We've observed so much cold gas,
137000	142000	but we can't find the same amount of cold gas.
142000	145000	So this tells us that there must be something
145000	147000	that can re-heat the gas.
147000	149000	In the simulation,
149000	152000	this problem is called the cooling flow problem.
152000	155000	In the simulation, the cooling flow problem
155000	158000	is most likely to generate too much star formation.
158000	162000	If you don't have any other mechanism
162000	164000	to suppress cooling flow,
164000	169000	the gases will keep cooling down
169000	172000	and accrete into the center of the galaxy
172000	175000	and generate too much star formation.
175000	177000	So you can see that this is a galaxy
177000	180000	with 14 times the solar mass
180000	182000	and has a cooling flow problem.
182000	184000	You can see that in Redshift-0,
184000	186000	the star formation rate is probably
186000	189000	more than 2 times the observed magnitude.
194000	197000	Can you hear me? Hello?
197000	200000	The cooling flow problem is typical.
200000	202000	As I said earlier,
202000	205000	it occurs in relatively heavy galaxies.
205000	209000	So you can see that this plot is stellar mass
209000	211000	versus halo mass.
211000	214000	Halo mass is the mass of dark matter.
214000	219000	The horizontal axis is the mass of stars in the galaxy.
219000	222000	If you assume that all the baryons,
222000	225000	all the gases and all the substances
225000	227000	follow the dark matter,
227000	230000	the flow follows the dark matter
230000	232000	and all of them become stars,
232000	234000	then you can predict the virtual line.
234000	236000	You can see that
236000	239000	after a very high-quality galaxy,
239000	243000	the green lines below are observed.
243000	245000	You can see that
245000	247000	in a large-scale galaxy,
247000	249000	there will be a very large deviation.
249000	252000	The larger the deviation, the more obvious it is.
252000	255000	This is where the cooling flow problem begins.
255000	258000	Usually, the scale occurs in L-star galaxies,
258000	261000	which is probably above the Milky Way-sized galaxy.
261000	264000	The cooling flow problem will become more and more serious.
264000	266000	In the literature,
266000	270000	there are some ideas that everyone proposes,
