start	end	text
0	10000	Hello, everyone. Welcome to today's TAR Talk. I am today's host, Zhang Yanyong.
10000	19000	I am very grateful to my good friend, He Shuyu, for being willing to give us this speech on the upcoming New Year's holiday.
19000	28000	First of all, let me introduce He Shuyu. He is currently a 2nd-year Ph.D. student in the Department of Physics at Tohoku University in Japan.
28000	37000	His field of study is mainly in the field of particle cosmology, and he is exploring how to understand the evolution of early universes from the perspective of particle interaction.
37000	45000	Most of his work is related to dark matter, and he did not mention it in the introduction he gave me.
45000	52000	But before he came, he was doing physics with Mr. He Xiaogang at NTU, so it is actually very related to his current research.
52000	57000	I have also had a few years of overlap with him in Caltech, where I am now, so we are very good friends.
57000	66000	His main research recently is Exxon. They think this is one of the most popular candidates for dark matter.
66000	69000	The topic he is going to talk to us about today is also related to Exxon.
69000	80000	His topic is Enhanced Photon Coupling of APL. APL is Exxon-like Particle, Dark Matter Adiabatically Converted from QCD Exxon.
80000	87000	A little reminder, if you want to applaud, remember to turn on the microphone so that our speakers can hear.
87000	91000	Let's applaud and welcome He Shuyu to give us today's speech.
92000	95000	OK, you can start now.
95000	98000	Is there a full screen now?
98000	100000	What do you mean by full screen?
100000	103000	I am recording a video here, so I have to press the full screen, right?
103000	105000	Is this OK?
105000	106000	Yes, I think this is OK.
106000	108000	OK, then I will start right away.
108000	113000	Zhang Yiyang has already introduced it to me, so I will talk about it directly.
114000	120000	The topic I want to talk about today is Exxon.
120000	125000	Exxon itself interacts with light.
125000	130000	The interaction between light and Exxon is very small.
130000	134000	In other words, we can't really detect it in the current experiment.
135000	143000	The main purpose of this work is to enhance the coupling with photons from a phenomenal point of view.
143000	153000	Our main method is to match the effect with the so-called MaxMixing of ALP.
153000	157000	I will talk about the rest of the details in the following slides.
157000	162000	Before that, I have to give you some preparation knowledge.
162000	164000	Maybe not everyone is familiar with Exxon.
164000	166000	Some people may not even know what DocuMator is.
166000	170000	So I will do some basic introduction in the front.
170000	172000	Then we will start directly.
172000	176000	The first thing you see now is the so-called example physical standard model.
176000	180000	Then we generally call it Standard Model.
180000	185000	Or SM, take the first English letter.
186000	188000	Basically, the standard model is very simple.
188000	189000	It is divided into two categories.
189000	191000	One is the so-called material.
191000	194000	The left side is the so-called material.
194000	197000	The right side is the so-called basic interaction.
197000	202000	The material is actually divided into two categories.
202000	204000	One is called quark.
204000	206000	The other is called hydrogen.
206000	209000	For example, everyone is more familiar with Electron.
209000	212000	It belongs to the category of hydrogen.
212000	216000	The other one may not be familiar to everyone.
216000	221000	But in fact, everyone is more familiar with it.
221000	222000	It is the so-called magnet.
222000	225000	Like a magnet, there is a so-called
225000	228000	You can see this U quark on the picture.
228000	231000	This up quark is composed of this down quark.
231000	233000	The same is true for neutrons.
233000	236000	So these are the more familiar particles.
236000	238000	Of course, there are other quarks.
239000	244000	This is a new example found later.
244000	247000	In addition to the material,
247000	249000	Of course, there is also the so-called interaction.
249000	252000	The interaction is basically divided into these categories.
252000	254000	The first one, everyone sees this G.
254000	256000	We call it Grouon.
256000	260000	It is a so-called strong interaction particle.
260000	261000	What about strong interaction?
261000	263000	We generally call it QCD.
263000	266000	That is, quantum quark dynamic.
266000	268000	We will see this word later.
268000	272000	Because this is related to the so-called CP problem we will discuss later.
272000	275000	The second one is the so-called electromagnetic effect.
275000	277000	This should be the most familiar to everyone.
277000	279000	Maybe from high school,
279000	282000	Even in everyday life, you can know
282000	284000	This interaction.
284000	287000	What about the electromagnetic effect of this magnet?
287000	290000	We use light to transmit.
291000	293000	The electromagnetic effect in our field
293000	295000	We like to call it QED.
295000	298000	That is, quantum electrodynamic.
298000	301000	In addition to these two effects, there is also the so-called weak effect.
301000	303000	The weak effect is generally used to describe
303000	308000	The so-called beta decay phenomenon.
311000	314000	Have you noticed that in addition to these interactions,
314000	316000	There is also an interaction
316000	318000	Not written on this table
318000	320000	The so-called gravitational effect
320000	322000	But because of the current standard model
322000	324000	I didn't include this gravity.
324000	326000	Because I didn't find the so-called gravity.
326000	328000	The so-called graviton is the gravity value.
328000	332000	It is not included in the standard model.
332000	336000	That may be something else that everyone may be familiar with.
336000	338000	but
338000	340000	This is the so-called Higgs particle.
340000	342000	What about this Higgs particle?
342000	344000	It should be 2012.
344000	346000	I remember when I was a substitute
346000	348000	Found this Higgs particle
348000	350000	Higgs particle is generally
350000	352000	The origin of this mass
352000	354000	Is the source of the value
354000	356000	What about my research today?
356000	358000	It has something to do with Higgs, but it doesn't have much to do with it.
358000	360000	I mainly focus on the so-called
360000	362000	This part of the skeleton
362000	364000	Because this skeleton will lead to
364000	366000	The so-called action problem
366000	368000	it is good
368000	370000	Of course, although
370000	372000	Although the quantum mechanics model is currently
372000	374000	It is very tested by the experiment.
374000	376000	I can't say it's perfect.
376000	378000	But at least most of the current
378000	380000	Some of the phenomena we see can be used
380000	382000	Use the particle physics standard model to explain
382000	384000	Of course, there are some shortcomings.
384000	386000	Because there are some problems
386000	388000	The standard model is incomprehensible
388000	390000	For example, the first so-called dark matter
390000	392000	I will introduce it later.
392000	394000	There is also the so-called strong CP problem.
394000	396000	This is what I translated directly.
396000	398000	Generally, we call it a strong CP problem.
398000	400000	There is also the so-called
400000	402000	There is also the so-called medium quality
402000	404000	For example, just inside this table
404000	406000	Did you see this green one?
406000	408000	The bottom three particles
408000	410000	This is the so-called neutrino
410000	412000	Because in neutrino
412000	414000	Because neutrino is in the standard model
414000	416000	It has no quality
416000	418000	But because through
418000	420000	We see this neutrino oscillation
420000	422000	This implies that neutrino must have quality
422000	424000	But the standard model
424000	426000	Our neutrino can't have quality
426000	428000	So this is also a standard model
428000	430000	There is also the so-called dark energy
430000	432000	Generally, this may be possible
432000	434000	Use the so-called cosmology constant to explain
434000	436000	There is also the so-called current gravity
436000	438000	Today my
438000	440000	The study is more related to the first
440000	442000	The so-called dark matter and this
442000	444000	This strong CP problem
444000	446000	Let's introduce the so-called dark matter first.
448000	450000	How do you know that there is a dark matter?
450000	452000	We can start with this
452000	454000	This so-called star rotation curve
454000	456000	Look at
456000	458000	This star rotation curve, I remember
458000	460000	It should be Rubin
460000	462000	Rubin said
462000	464000	He is a female scientist
464000	466000	But it seems to have passed away a few years ago
466000	468000	If I remember correctly
468000	470000	This star rotation is very simple
470000	472000	That is to say
472000	474000	We may have learned this Newton's law
474000	476000	So we can predict that a object
476000	478000	Just a planet
478000	480000	Do this to the solar system
480000	482000	If the shape
482000	484000	What about the speed of this shape?
484000	486000	It should be with the sun
486000	488000	Or the center of the star
488000	490000	What about this distance?
490000	492000	Yes, when it's far away
492000	494000	You should see this star
494000	496000	The speed changes with the distance
496000	498000	It should be this red picture on the picture
498000	500000	That is to say
500000	502000	If it's far away, it's the distance
502000	504000	If the center is far away, the speed should be going down
504000	506000	But what we see is not like this
506000	508000	What we see is this
508000	510000	The white part is
510000	512000	He is at speed
512000	514000	When it's far away, it's a constant
514000	516000	This is a mystery
516000	518000	This is the Newton's law
518000	520000	The gravity law to explain
520000	522000	Of course there are many
522000	524000	Ideas to deal with this problem
524000	526000	That
526000	528000	It's easier to say
528000	530000	Maybe there are some objects
530000	532000	We can't see it, but it will provide gravity
532000	534000	If you have additional gravity
534000	536000	You can explain this speed
536000	538000	Why is it still a constant far away?
538000	540000	Of course there are other theories
540000	542000	Like the so-called modified gravity
542000	544000	That is to say, Newton's law
544000	546000	It's not what we usually see
546000	548000	For example, FMA may have some corrections
548000	550000	That can also explain this
550000	552000	Star curve
552000	554000	So why is it that the object value
554000	556000	It's a little bit bigger
