start	end	text
0	5540	主持人洪世安 大家好,歡迎大家來到今天的Taiwan Radar Talk
5540	11080	我是今天的主持人洪世安,目前是在University of Michigan做博士後
11080	18220	今天的講者是黃宗仁博士,目前是在日本東北大學
18220	26760	還有日本研究法人物質材料機構做工讀博士
26960	33840	他主要的研究就是準結晶的應用還有結構的特性解析
33840	36500	這是他主要的興趣
36500	42340	好像快要拿到PhD了嗎?
42340	44340	快了快了,最近有點忙,不好意思
44340	49720	他今天的主題是Metallurgy of Quasi-crystals
49720	56420	所以我們就歡迎黃宗仁來給我們演講
56460	62360	等一下我們要鼓掌的時候要記得先打開麥克風
62360	65820	這樣子的話講者才可以聽得到
65820	71300	所以我們現在就先鼓掌讓講者開始吧
71300	73300	大家記得打開麥克風啊
80040	84680	我們如果要問問題的話可以打斷你嗎?
84700	86700	可以可以,沒有問題
86700	88700	因為我今天slide準備的沒有到很好
88700	90700	所以可能有些點會不太清楚
90700	92700	就歡迎打斷
92700	95700	那我們就把時間交給黃宗仁吧
97420	102420	OK好,首先謝謝釋安的介紹
102420	104420	我們認識大概也差不多一年吧
104420	106420	應該有,最近偷懶很多
106420	112420	我今天要講的東西是Metallurgy of Quasi-crystals
113160	115160	這個東西應該大家知道的話
115160	117160	就是2011年的時候
117160	127160	因為Dan Chapman博士他發現了違反了傳統結晶學的物質之後
127160	129160	而獲得諾貝爾獎
129160	132160	那我今天可能會把重點比較放在
132160	136160	準晶的差跟一般晶體到底差在哪裡
136160	141160	然後為什麼它被稱為第三種固態物質的狀態
141900	143900	那首先這是第一張圖
143900	145900	大家可以看到這個
145900	147900	它其實不是花喔
147900	149900	它是當初Dan Chapman他在發現準晶的時候
149900	154900	他是在快速凝固的鋁蒙合金裡面
154900	158900	但是這個東西在當時其實受到很大的challenge
158900	162900	因為這個東西它並不是一個stable的Quasi-crystal
162900	168900	那這個小花呢就是在它製造出Quasi-crystal之後呢
169640	172640	在中低溫時效的情況下它會吸出了一個第二項
172640	178640	那當初Linus Pauling他也是因為這件事情去challengeDan Chapman
178640	180640	他說這個世界上沒有Quasi-crystal
180640	182640	只有Poseidon Kiss
182640	186640	可以看這個其實是原圖直出啊
186640	188640	這是就一般的ACM拍出來的圖
188640	191640	然後接下來之後用mapping上色之後變成這樣
191640	194640	就是準晶為什麼那麼吸引我就是因為它真的非常非常的漂亮
195380	198380	好就是正如我剛剛所說
198380	202380	就是Dan Chapman他在發現Quasi-crystal的時候
202380	204380	他其實他是一個以色列人
204380	208380	他發現Quasi-crystal其實是他在那個NIST
208380	210380	做那個Sabbatical的時候發現的
210380	213380	其實當初他就是發現這個東西他也是很興奮說
213380	217380	為什麼會有這種石蟲對稱的出現
217380	221380	可以看到下面這張圖就是
222120	224120	有人利用那個
224120	228120	在那個Aluminum-Palladium-Manganese的那個
228120	230120	合金上面鍍上銀去做了一個
230120	232120	那個Potential Energy的一個STM圖
232120	234120	我們看到它這個感染真的很漂亮
234120	238120	然後每個地方都會看到這個五角形的東西
238120	242120	那這邊就是當初Dan Chapman在解析這個
242120	244120	準結晶結構的時候
244120	247120	他在那個NIST做Sabbatical跟那個John Kahn
247120	251120	非常有名的一個熱力學大師這樣子
251860	254860	但其實準結晶為什麼可以得諾貝爾獎
254860	256860	我真的是要紀念一下我的老闆
256860	260860	就是他是在今年很遺憾的
260860	262860	在我們開準經研討會的過程
262860	264860	他今年沒有參加因為他身體不太好
264860	268860	那他在台灣出差的時候瞬間過世了
270860	274860	那蔡安邦老師他在準結晶上最重要的兩個
274860	278860	最大的最重要的兩個貢獻就是
279600	281600	他在1987年的時候合成出了
281600	283600	熱力學上穩定的準結晶
283600	285600	這個東西的合成出現
285600	287600	帶動了後續未來到現在
287600	290600	大概已經三十幾年的準結晶的繼續發展
290600	293600	那他第二個最重要的功夫在2000年的時候
293600	297600	成功的製作出了一種二元的準結晶
297600	299600	那這種二元的準結晶有什麼很重要的特性
299600	304600	是說它可以少了很多原子在實際空間裡面交換的現象
304600	307600	讓他們可以更好的去觀察準結晶的結構
308340	310340	並且做出一個比較詳細的真實空間解析
312340	315340	那我們在日本其實有一個workshop
315340	317340	就是專門for Quasi-crystal
317340	321340	那大家都戲稱蔡安邦老師叫做神之手
321340	323340	就是這隻手
323340	325340	因為目前很多很多的穩定的準結晶
325340	327340	都是由蔡安邦老師
327340	330340	他根據他博士班做了一個規則
330340	332340	然後把它做出來
332340	334340	然後把它合成出來的
334340	336340	那其實蔡老師最重要的一個部分
337080	339080	在合成這個方面
339080	341080	他主要是他在東北大
341080	343080	擔任助理教授的時候
343080	345080	他成功解析了12種
345080	349080	跟五角六十面體相關的共二
349080	351080	幾何結構是跟準結晶有關係的
353080	355080	那這是我今天outline
355080	357080	我會稍微介紹一下什麼是結晶
357080	359080	什麼是周期性
359080	361080	然後準結晶怎麼發現的
361080	363080	然後為什麼它是準結晶
363080	365080	準結晶要怎麼定義
365820	367820	還有稍微介紹一下性質
367820	369820	跟目前準結晶的發展
369820	371820	希望今天演講可以讓更多的人
371820	373820	能夠加入準結晶這個
373820	375820	我覺得很美啦
375820	377820	但可能很多人覺得很沒有用的一個
377820	379820	研究行列裡面
379820	381820	那首先在講結晶
