start	end	text
0	8000	Hi, everyone, welcome to today's Tarot Talk. I am today's host, Zhang Yanyong.
8000	14000	Today's Tarot Talk is very happy to invite Dr. Yu Zhejing.
14000	19000	Can I say this? Although half of my feet have already stepped into Ph.D.
19000	23000	Zhejing is a graduate of the University of Taiwan Chemical Engineering.
23000	26000	He directly enrolled in the PhD class of the University of Taiwan Chemical Engineering.
26000	29000	This year is the fourth year of the PhD class.
29000	34000	In the first three years of the PhD class, he conducted a cooperation experiment in Poland.
34000	37000	Last year, he applied for the Thousand Miles Project.
37000	39000	I want to say that I am in Caltech.
39000	43000	He conducted research on visiting in Caltech.
43000	46000	We have become very good friends this year.
46000	50000	He just returned to Taiwan and is expected to graduate this summer.
50000	51000	He is almost graduating.
51000	61000	He is interested in the study of nanoparticless materials and green energy and environmental governance through the application of light, vinegar, coal, blowing, and chemical engineering.
61000	65000	So far, he has published nearly ten articles.
65000	68000	Half of them are written by Ph.D.
68000	72000	Can you go back to the first page?
72000	73000	Yes.
73000	75000	You should be able to see the first video now.
76000	78000	Today's topic is very interesting.
78000	81000	It's called The Air We Breathe and The Water We Drink.
81000	83000	Without further ado, let's welcome Yu-Zhe Jin.
83000	84000	Oh, I'm sorry.
84000	86000	I forgot to say one thing.
86000	92000	When you applaud, you have to put the microphone down so that the speaker can hear your applause.
92000	94000	Yes, I heard it.
94000	96000	Please start.
96000	99000	Thank you, Tara, for inviting me to speak today.
99000	100000	I am Yu-Zhe Jin.
100000	109000	Today I am going to talk about how we use chemical engineering to manage our air and water.
109000	111000	The speech will be divided into two parts.
111000	117000	The first is to use light blowing to manage the toxic gas in the air.
117000	121000	The second part is to use electromagnetic methods to deal with our waste water.
121000	127000	I hope that if you have any questions, we can discuss them directly.
128000	131000	I will limit the time to about an hour.
131000	135000	Including Q&A, I will limit it to about an hour.
135000	137000	Sorry, let me interrupt.
137000	138000	Okay.
138000	139000	I have a question.
139000	144000	You can see a small microphone pattern on the right side of the screen.
144000	148000	You have to mute your own microphone to make a sound.
148000	149000	Don't forget.
149000	150000	Please continue.
150000	151000	Okay.
157000	163000	Okay.
163000	166000	In general, in the combustion process,
166000	170000	they will release a lot of toxic gases.
170000	178000	Among them, nitric oxide will release about 250 to 400 BPM.
178000	182000	What kind of harm will this cause?
182000	187000	The toxic gas of nitric oxide, after a series of light chemical reactions,
187000	193000	may produce carbon dioxide, NO2, or ozone.
193000	197000	These two things are actually toxic gases.
197000	202000	In fact, in the early days, there were some problems with light chemicals.
202000	204000	You can see that the air is orange.
204000	206000	They are the so-called light chemicals.
206000	213000	These light chemicals are produced by carbon dioxide and ozone produced by these oil reactions.
213000	217000	In the early 1952s in London and the 1980s in Los Angeles,
217000	223000	about tens of thousands of people died because of these light chemicals.
223000	228000	At the same time, carbon dioxide will also form acid rain with water.
228000	233000	The harm of acid rain is corrosion of buildings.
233000	242000	At the same time, the most recent problem is probably the air whirlpool we know, PM2.5.
