start	end	text
0	3000	整理&字幕由Amara.org社区提供
30000	42240	主持人是UT Austin的天文系博士候選人,其實他已經即將要畢業了。他大學的時候是畢業於台大物理系,畢業之後就來美國念天文。
42520	55440	他的專長和研究的興趣是早期的行星的形成,就是Early Phase的Star Formation的各種物理化學現象,包括觀測和Simulation。
56960	66060	在他的博士班的研究生涯中,他曾經用過了像Herschel、Alma、Sophia這樣的各式各樣的望遠鏡來做研究。
66580	73800	很有趣的是,他同時也是在UT Austin的Astronomy on Tap的主辦人。這是一個什麼樣的活動呢?
74900	89420	他們會定期在Bar跟民眾開講關於天文的主題,他們現在已經成長到每次都會有超過250個人參加。
90020	95420	姚倫是UT Austin的Astronomy on Tap的主辦人,這是蠻印象深刻的。
100060	108840	他要跟我們講的題目是《The Birth of Solar-like Stars, An Inseparable Entanglement of Dynamics and Chemistry》。
109100	119800	我們話不多說,大家要記得開麥克風鼓掌,這樣我們的講者才會聽到大家的掌聲,我們就鼓掌歡迎姚倫。
119800	126300	姚倫主持人 姚倫主持人
126300	141360	其實我已經在這個項目裡面潛水很久了,很高興這次終於有機會可以跟大家講一講這幾年來在UT Austin這邊做關於星際形態的一些研究的成果和一些最近研究的近況。
142360	166920	我現在是在UT Austin六年級的PhD的學生,我主要的advisor是Neil Evans,基本上我們主要就是在做關於星際形態的各種觀測以及用一些model去解釋早期星際形態的一些觀測到的一些物理現象跟一些化學現象。
167800	180220	OK,然後剛剛有提到一個就是SOFIA的觀測,正巧就是我前幾天才剛從SOFIA的觀測回來,那SOFIA是什麼樣的東西呢?
180220	192320	SOFIA它的全名叫做Stratospheric Observation for Infrared Astronomy,就是在頻流程的一個針對紅外線的一個天文台。
192560	206900	那為什麼要在頻流程呢?是因為地球大氣中很多水汽,這些水汽都會放射出很多紅外線,那如果我們在地面觀測的時候,我們就是只看我們自己地球上面的水汽而已。
206900	221000	所以很多時候至少要透過太空望遠鏡,像是Spitzer或是Hubble,他們去透過太空望遠鏡看看這些紅外線的觀測,那另外一個方法就是透過飛機可以飛超過頻流程,你可以,
222660	233360	應該是我如果沒記錯,應該是可以避開掉95到99%的水汽,然後進行比較高sensitivity的觀測。
233600	250580	那這就是SOFIA,你現在看到的飛機的SOFIA,你可以看到它其實是一台波音747改裝而成,你可以大概看到這個飛機中段尾巴的地方,你可以看到有一個不是很平滑的突起,在這邊不是很清楚。
250580	261140	那主要就是它在那個中後段的地方就挖了一個洞,然後把一個2.7米的望遠鏡放在裡面,那飛上去以後它會,那個門會打開,然後就是這樣觀測。
261680	280820	那在觀測的時候就是像這樣子走過去,然後就是上飛機,然後在觀測,在過程中跟天文台的天文學家與技術人員就是討論說,即時的討論說,怎麼樣可以讓這個你觀測的這個目的更更容易被達成,然後即時可以調整你的策略。
281500	304440	那這是我跟我的advisor,我們兩個人要上飛機前面的樣子,就是從這個,就很不一樣,這是一個軍用機場,所以你就是透過它有一個security check進去以後,你就從這個樓梯上去,然後同一個同樣的機場還有飛那個美國的B-2逆中轟炸機,所以然後這個是SOFIA內部的樣子。
304440	334320	那它主要就是,你現在看到最遠的地方,藍色這個部分是它的instrument,那在這個封閉的艙體的另外一邊,就是現在看不到的另外一側就是望遠鏡本身,那所以望遠鏡一邊是鏡子,然後另外一邊是instrument,然後兩邊這樣才可以有重量上的平衡,那不同儀器啊,望遠鏡以及整個mission的這個操作人員,就是在這些station上面。
334860	364420	嗯,就是監控這個這個觀測的,呃,的狀況以及隨時,因為其實這是這是一個非常複雜的一個任務,因為它不是不是就你在那邊,然後望遠鏡轉轉,它是你是你是正在飛行當中,所以你要靠飛機的的呃,弧線去去對準你的天體的目標,所以他們NASA其實把每一趟SOFIA的flight當成一個mission,所以他們有mission director,然後我們去出發時,
364420	394400	還有一個mission briefing之類的,就是蠻蠻正式的,那這是我們那天飛的一個路徑,我們從Palmdale加州的Palmdale,大概在LA北邊一個小時一個半小時的路程起飛,那你可以看到這個路徑非常的奇怪,因為基本上它這個路徑都是由每一長短不一的arc弧線來來決定,一個arc就是就是針對一個目標,所以這邊我們大概看了六七個目標這樣子,然後越長
394400	424260	就代表停在那個那個天體上面時間越久,然後進入到今天的正題,然後今天正題主要是講star formation,然後以及我們怎麼樣用分子的譜先去了解早期恆星行程它的一些dynamical的變化,以及相對應化學上的變化,那這是這是一個我們銀河系的一個一個照片,你可以看到很多這些黑色中間這個黑色不規則的地區,
424360	447360	就是我們叫做所謂的Darkland,它有很多的塵埃在那邊,然後它也是密度比較高的地方,也是早期恆星比較正在形成的區域,那像這是我們如果放大到其中的一個這個molecular cloud,就是主要是恆星形成的一個地方來看的話呢,那這些黑色的地方一樣是剛剛所謂的
447360	476820	一個塵埃聚集的地方,就是早期恆星早期形成的地方,如果我們切換到紅外光線來看,就可以看到這些有很多這種像是柱狀,或甚至是我們叫filamentary的structure,然後這些就是從一個我們如果想像成一個地球上的這個天空中的圓,就像天空中的圓,但是它這邊的這個圓並不是那一支球狀,
476820	499080	或甚至是塊狀,它反而是比較這種條紋狀的,或者是那種filamentary structure,然後會透過這些filament,氣體跟塵埃會透過這個filament被拉扯到中間,透過重力的原因,然後拉扯到中間,然後進而達到足夠高的密度,然後產生,然後去trigger這個star formation的activity。
500080	524780	那這是在star formation發生的時候,你會有很多的,基本上密度會從可能10的3次方,或是10的5次方,這是分子per cubic centimeter,會很快速的可以成長到10的9次方,甚至10的4次方,這是非常大的數量級的改變,那在這過程中,
525620	544620	假如你有初期在collapse的時候,你會有一些些的角動量在比較外圍的地方,那你如果這個比較小的角動量在被帶到很小的區域的時候,它這個旋轉速度就變很大,
544620	562780	那就這時候這個旋轉的程度有可能會讓這個star formation這個collapse沒有辦法很有效的進行,等於說你的氣體就變成自己在那邊旋轉,而不是繼續被吸到中間的star裡面。
563260	579620	那在這過程中就會有很多的outflow,然後去把這些高速旋轉的物質噴發出去,然後進而去減少整個system的角動量,那你看到這邊綠色的這些像噴流狀的物質,就是那些outflow。
579780	590980	那現在這邊是一個simulation,就是一個simulation大概描述說我們從一個filament,然後慢慢的發展成,
591820	611820	它會先從一個filament,然後zoom in,然後會看到一個恆星的早期的情形,就是很多的分子雲,很非常致命的分子雲,怎麼樣在那個狀態,然後collapse,然後噴發出剛剛前面那張圖片所看到的這樣子的噴流。
611820	640500	OK,所以你可以看到這整個過程是非常地,變化非常大,然後也是會造成非常非常多irregular的structure,那所以我們在觀測上也發現的確是這樣,就是我們,你可以看到這邊這個背後這個圖,黑白的圖片是分子雲的分佈。
641500	658780	然後前面這些不同的symbol是表示,我們現在直接觀測到了早期恆星出現的地方,那你可以看到大部分的早期恆星都是在這些分子雲,也比較致命的地方所以產生。
658780	680420	所以我們就可以大概可以得出這樣的一個scenario,就是說你一開始先有很多很致命的雲氣跟塵埃,然後通過這些雲氣跟塵埃,可能慢慢或是甚至是快速的,就會collapse到中間,然後變成一個恆星或是幾個恆星,不知道。
681020	698140	那在這過程中,一個很重要的就是說,這大概是如果一個非常簡單的一個卡通圖案來表示的話,就是我們一開始有一個core,我們叫pre-stellar core,簡單來講就是他在stellar之前的core,所以叫pre-stellar core。
699140	727820	那在開始你有collapse,這些core collapse到中間,變成早期的恆星叫做pre-stellar的時候呢,我們就把這個core叫做pre-stellar core,那在同時他可能會產生很多的這些噴流啊,這邊橘色的這邊就代表是噴流,那在慢慢的演化呢,這些物質,外圍的物質要嘛是被吸到中間變成恆星的一部分,或者是他會受到很多feedback影響,
727820	744060	然後就是就是慢慢的消散掉,然後剩下你就剩下一個disk,因為還是有很多物質就是在滿中間的地方,很高速的旋轉,而沒辦法就是很直接的就被吸收到中間的恆星上面,所以會有一個disk。
744900	758380	那這邊呢,這個disk就是就是恆星會產生的地方,所以漸漸的這個disk就會慢慢演化成一般我們認知到的planetary system,就好像我們太陽系,我們可能在somewhere here。
759380	779220	OK,那所以我們在start-provision裡面有個蠻重要的一個問題就是說,到底這個一開始早期這個info從這個core你要產生一個protostar的時候,就是像這樣子的一個過程啊,他的timescale大概是多少啊?
780220	807740	OK,在pre-stellar的evolution現在也不太確定,那基本上來講,從一個core如果開始collapse產生protostar到變成disk好了,就從pre-stellar core到disk大概是兩個million year,相對蠻短的,然後像從disk到disk消散大概是十個million year。
808300	819600	所以,然後一個譬如說像我們的太陽系,我們的太陽大概可以活十個million year嘛,所以這個timescale大概是他們的可能是百分之一跟千分之一的時間。
819600	848160	主持人問道:"那我還有另外一個問題,就是這樣子的一個過程跟現世比如說是modern universe,或者是比如說Z等於3Z等於5之類的,還是這些事情只會發生在很近的近代,所以沒有差異。我其實要問的是,為什麼現在會有差異?"
849600	861720	文靜行程其實是都會發生,但早期宇宙也會產生,甚至有很多現在很active的research area,就在做所謂的first star,就是最早期宇宙一開始形成的star。
862320	882840	那在其中其實最大的差別是在cooling,就是這個core,一個dense core它如果要collapse,它必須要dynamically quiet,它如果是溫度非常高,它的thermal motion就非常強烈,
882840	896320	所以它這個thermal的這個給它的pressure,它很容易就可以大於這個重力給它這個中間的attraction,所以當你溫度很高的時候你就不容易collapse,那所以它必須要夠冷它才可以collapse。
896400	920500	那當然在早期宇宙裡面呢,應該說那要怎麼讓這個core變得很冷呢?通常一個很重要的機制就叫做radiative cooling,基本上就是你能量被分子吸收,然後分子能階decay,然後變成radiation,輻射出去,那你能量就離開這個system,所以你就會慢慢變冷。
920860	941700	那分子或是就是比較除了氫氦以外之類的原子都對於cooling是蠻有用的,那相對於早期宇宙你這個cooling就會比較弱,所以早期宇宙的時候大家會覺得你這個每個core就可以變得長得非常大,然後你就很容易形成超級大質量的恆星等等之類的。
942420	948260	那細節我相信現在我們也還沒有觀測到什麼東西,但是應該蠻多simulation在做這個部分。
951060	952000	好,謝謝。
954280	969580	Ok,所以以觀測上的角度,我們很想知道說,這個collapse是怎麼發生的?這個物質是透過什麼樣的mode從這個core的外圍地區被transfer到裡面的地區?
969900	978740	那像在這個simulation,就是在模擬說這個core怎麼樣collapse,然後最後產生這樣的噴流。
978740	984160	你可以看到這個中間這個collapse,一開始的過程是非常非常短,跟相比之後的時間點。
984660	991060	那所以,而且你可以看到這些一樣的,跟剛剛前面那個simulation看到的,就是非常的irregular。
991340	996540	然後所以,代表它裡面可能,可能真的可能會有很多的structure,不同的structure,不同的mode。
997260	1002540	根據你看的角度不一樣,有可能你看到的是outflow,其他地方可能看到的是inflow。
1004540	1011300	所以,針對這個inflow的這個measurement,我們主要想要知道這個inflow,它怎麼開始的?
1011300	1016980	然後它怎麼樣,譬如說它到底是在多遠,多大,什麼樣的size scale開始?
1016980	1023460	那怎麼樣characteristic,譬如說這個core必須要在什麼溫度,長多大,它才會開始有inflow。
1023780	1033180	那它的過程是怎麼樣?它是隨著半徑越來越小而增加多快,或是甚至不是增加,
1033180	1036180	隨著半徑越來越小,越往裡面它可能越慢或是越快。
1036180	1043380	那它最後怎麼樣去evolve,變成對裡面這個rotation dominant的region,
1043380	1049020	就是比較像是說這個disc,早期的disc的那樣子的一個region。
1049020	1054180	它怎麼從原本比較radial的inflow的motion,變成a dimensional的這個rotation。
1055740	1060740	那所以,透過這樣的觀測,我們想要知道,到底這個inflow的model是什麼?
1060740	1064860	我們有沒有辦法寫出一個很好的model,來去模擬這個部分。
1064860	1070740	那另外就是這個化學的變化,怎麼樣隨著這個inflow去改變?
1070740	1074340	這個我到時候,之後會講比較多一點,那現在就先提一下。
1075340	1085100	那另外在比較大的結構上面呢,這個inflow其實對於我們所謂的initial mass function非常的重要。
1085100	1092340	什麼是initial mass function?就是有點像是說,我們現在要造一個galaxy,造一個星系,
1092340	1095740	我裡面不同質量的恆星,我到底比例是多少?
1095740	1100220	這個就是叫做initial mass function,我可能大質量恆星比較少,小質量恆星比較多。
1100460	1105980	那這樣的一個mass distribution,就是initial mass function。
1107780	1112220	但這些initial mass function主要指的都是已經產生的恆星。
1112220	1116620	那我們在做恆星形成,我們非常想要知道說,
1116620	1121820	如果我們有各個這種大大小小不一樣大小的core,
1121820	1124060	那這些core會變成什麼樣的恆星?
1124060	1131860	那它們之間的core mass distribution跟initial mass distribution跟star的mass distribution,是怎麼樣的變化?
1132460	1139860	那所以我們希望在未來,透過了解這個inflow的model,可以有一些hint說,
1139860	1148060	OK,如果我們一個core可能是一個太陽質量,那可能有百分之多少會變成中間的star,百分之多少會易散。
1148060	1156060	那是不是我們就希望可以透過這個model的研究去ultimately approach這個problem,
1156060	1163460	我們怎麼樣從這個藍色的core mass function變成這個dash line,各種不同dash line的initial mass function。
1165460	1170260	另外是我們現在在早期的這些disk,看到很多這種binary system,
1170260	1177260	而且在一般的已經形成的恆星,我們也知道大多數的恆星都是binary,
1177260	1183060	就是雙星或是更多的multiple system,那我們在早期也看到這樣的狀況。
1183060	1189060	那我們想知道這個早期的恆星,是怎麼樣可以形成這樣子的binary system?
1189060	1192660	那這個binary system對於這個inflow會有什麼影響?
1192660	1197460	或是說你inflow進去的mass要達到什麼樣的criterion,
1197460	1200860	什麼樣的threshold才會trigger這樣子的fragmentation,
1200860	1205060	fragment成不同的兩個或三個以上的source。
1207260	1211460	所以我們想知道disk initial condition是什麼?
1211460	1214060	它是多大?然後它的質量是多少?
1214060	1216260	那希望我們可以透過對inflow的了解,
1216260	1221460	可以知道說多少的mass會到中間,那多少會retain在中間。
1223260	1226660	OK,這就是另外一個,這是一個非常神奇的system,
1226660	1231260	它有三個star在中間,然後你看到一個disk structure,
1231260	1233460	所以我們到現在還是不太知道為什麼會這樣。
1234460	1242460	OK,另外一個部分是說,我們像這個MWC480這個disk,
1242460	1245660	你看到它很多這種ring structure,非常神奇的ring structure,
1245660	1250260	但另外我們也看到很多不同的,比較complex的molecule,
1250260	1253060	像這個CH3N,或是這個methylsinide,
1253060	1257660	就是不同的,比較大分子的有機化合物。
1258260	1264660	那我們也在早期的core的階段,也看到很多這些有機化合物。
1264660	1269260	那這些有機化合物,因為有機化合物最後ultimately,
1269260	1272660	它們會進入到行星大氣之間,
1272660	1277260	然後它可能是trigger生命形成的最主要部分,
1277260	1281860	因為這些有機化合物,除了講比較廣泛一點,
1281860	1285260	它可能甚至是first step of life,或者甚至是seed of life。
1286260	1289660	那我們想要知道說,在早期這個恆星演化的形成中,
1289660	1292460	這些chemistry怎麼樣跟著info去變化。
1292460	1296860	一樣,我這在後面會做比較多的解釋。
1299260	1302660	OK,所以我們目標就是想要知道,到底這個info是怎麼樣發生的。
1305060	1309660	那我們現在目前用的方法呢,我們是想要量,
1310260	1317860	透過分子的譜線去量其中所表現出的kinematic structure。
1317860	1323060	簡單來講是透過它的譜線的形狀,
1323060	1328460	去分析說到底它的,我們看過去這個line of sight裡面的
1328460	1331260	氣體的移動的路徑是長什麼樣子。
