start	end	text
0	5600	Hello everyone, welcome to today's Taiwan Radar Talk.
5600	7920	I am today's host, Shi-An Hong.
7920	11200	I am currently a post-doctoral student at the University of Michigan.
11200	14240	Today's speaker is Dr. Hwang Chung-Ren.
14240	18400	He is currently a post-doctoral student at the University of Tokyo, Japan,
18400	26960	and the Japan Research Institute for Human Materials and Materials.
26960	33840	His research focuses on the application of crystalline materials and their structural characteristics.
33840	36480	This is his main interest.
36480	42320	It seems like you are about to get your Ph.D.
42320	44320	Yes, I am a bit busy recently.
44320	49680	Today's topic is the metallurgy of quasicrystals.
49680	56400	So let's welcome Dr. Chung-Ren to give us a speech.
56400	65680	Before we start, please remember to turn on your microphones so that the speaker can hear you.
65680	71280	So let's give him a round of applause and let the speaker begin.
71280	73280	Please remember to turn on your microphones.
79920	84560	If we have any questions, can we interrupt you, Dr. Chung-Ren?
84720	86720	Sure, no problem.
86720	90720	I didn't prepare a good presentation today, so there might be some points that are not clear.
90720	92720	You are welcome to interrupt.
92720	95760	Okay, let's give Dr. Chung-Ren the microphone.
97520	102400	Okay, first of all, thank you for the introduction.
102400	104400	We have known each other for about a year, right?
104400	106400	I think so. I've been a bit lazy lately.
106400	112400	So what I'm going to talk about today is the metallurgy of quasicrystals.
112480	128400	As you all know, in 2011, Dr. Dan Shepman discovered that he had won the Nobel Prize for violating the principles of traditional quasicrystals.
128400	136400	So today I'm going to focus on the difference between quasicrystals and ordinary crystals.
136400	140400	And why they are called the third state of solid matter.
140400	142400	First of all, this is the first picture.
142400	144400	As you can see, it's actually not a flower.
144400	154400	When Dr. Dan Shepman discovered quasicrystals, he was in a quickly solidified aluminum alloy.
154400	158400	But this thing was actually a big challenge at the time.
158400	162400	Because this thing is not a stable quasicrystal.
162400	168400	So this flower is what happens when it produces quasicrystals.
168400	172400	At a low temperature, it will suck out a second phase.
172400	178400	At that time, Linus Pauling also challenged Dr. Dan Shepman because of this.
178400	182400	He said that there is no quasicrystals in this world, only Poseidon.
182400	186400	So you can see that this is actually the original picture.
186400	188400	This is a picture taken by a general SEM.
188400	190400	And then it became like this after mapping.
190400	194400	The reason why quasicrystals attract me so much is because it is really beautiful.
196400	204400	As I just said, when Dan Shepman discovered quasicrystals, he was actually an Italian.
204400	210400	He found that quasicrystals were actually discovered when he was doing sabbatical at NIST.
210400	212400	In fact, he was very excited when he found this thing.
212400	216400	Why does this kind of quasicrystals appear symmetrically?
216400	220400	You can see this picture below.
220400	232400	Someone used the aluminum-palladium-manganese alloy to make a STM picture of potential energy.
232400	234400	We can see that it is really beautiful.
234400	238400	And then you can see this pentagonal thing everywhere.
238400	242400	This is when Dan Shepman was analyzing the structure of quasicrystals.
242400	248400	He is a very famous thermo-mechanical master at NIST Sabbatical and John Kahn.
248400	254400	But in fact, why can quasicrystals win the Nobel Prize?
254400	256400	I really want to commemorate my boss.
256400	264400	Unfortunately, he did not participate in our quasicrystals seminar this year because he was not in good health.
264400	266400	He died instantly when he was on a business trip to Taiwan.
266400	282400	Mr. Kahn's two most important contributions to quasicrystals were that he synthesized a thermo-mechanical stable quasicrystals in 1987.
282400	290400	The synthesis of this thing led to the continued development of quasicrystals that have been around for more than 30 years.
290400	296400	His second most important contribution was that he successfully produced a two-dimensional crystallography in 2000.
296400	300400	What is so special about this two-dimensional crystallography?
300400	304400	It can replace a lot of atoms in real space.
304400	310400	This allows them to better observe the structure of the crystallography and make a more detailed real-space analysis.
310400	316400	We actually have a workshop in Japan for quasicrystals.
317400	322400	Everyone calls Mr. Kahn a god's hand.
322400	332400	Because many stable quasicrystals have been synthesized by Mr. Kahn according to the rules of his doctoral class.
333400	351400	Mr. Kahn's most important contribution was that he successfully analyzed 12 kinds of quasicrystals related to the 5-axis 20-dimensional system when he was an assistant professor in Northeast Asia.
