start	end	text
0	13000	Hello everyone, I am Jason, and I am the host of Taira Talk. Welcome everyone to Taira Talk on April 19th.
13000	20000	The speaker we invited today is Dr. Zhan Yaojia.
20000	26000	He is currently a PhD candidate at UC Irvine.
26000	39000	His main work is in telecommunications and network information information theory.
39000	49000	He used to study and work at NTU Electronics and Telecommunications.
49000	59000	He is now a PhD student at UC Irvine, and will study abroad under the auspices of the Ministry of Education.
60000	63000	The topic of his talk today is
63000	72000	The impact of information technology on wireless network transmission.
72000	85000	Let's give the speaker a round of applause.
90000	95000	Let's give the floor to Yaojia.
95000	97000	Can you hear me?
97000	99000	Yes.
99000	103000	Okay, let's get started.
103000	105000	In fact, this is channel information.
105000	110000	Channel information refers to wireless transmission.
110000	118000	If I know in advance that the transmission is good or bad,
118000	120000	or if I can even quantify it,
120000	124000	I can make some configurations in advance in the transmission section.
124000	127000	This will further improve the efficiency of my transmission.
127000	132000	But if today's information is not so accurate,
132000	136000	what impact will it have on my transmission efficiency?
136000	139000	I hope I can get to this point.
139000	144000	I know some people today,
144000	147000	and they may all have a background in telecommunications.
147000	151000	But most of them are not our peers,
151000	155000	so I'll see how much I can say.
155000	157000	Okay, good.
157000	160000	Today I will mainly talk about these three parts.
160000	163000	The first part is that I will first review
163000	168000	how we do information transmission
168000	173000	when we are in the so-called traffic jam.
173000	176000	Of course, we have some basic restrictions.
176000	180000	For example, I hope that the higher the efficiency of my transmission,
180000	181000	the faster the speed,
181000	184000	but at the same time I can't let the transmission go wrong.
184000	186000	So what should I do?
186000	188000	In fact, in 1948,
188000	191000	Claude Shannon had already answered this question.
191000	196000	He had some good results,
196000	198000	which we will introduce.
198000	201000	The second part is that I will briefly introduce
201000	204000	some simple networks,
204000	208000	such as broadcast networks,
208000	210000	such as interference networks,
210000	212000	and interference channels.
212000	217000	They have some current solutions
217000	219000	for this kind of transmission problem,
219000	221000	and some problems have been solved,
221000	223000	and some problems have not been solved.
223000	224000	Then, in the absence of a solution,
224000	225000	how do I deal with it?
225000	227000	How do I get around with it?
227000	230000	The last part is actually more like my research.
230000	234000	If today I don't know
234000	238000	how these channels and links in the middle
238000	243000	are,
243000	244000	the detailed information
244000	248000	will not have any fundamental impact on my transmission.
248000	250000	That's the first part.
250000	252000	In fact, basically,
252000	254000	when we communicate,
254000	257000	the channels are always noisy,
257000	260000	they are always affected or interfered with by the transmission.
260000	262000	It's the same with wired communication,
262000	263000	and it's the same with wireless communication,
263000	265000	and the environment of wireless communication is more complicated.
265000	268000	Because of the so-called multipath effect,
268000	272000	the signal is distorted.
272000	274000	In addition to noise,
274000	276000	there is also distortion,
276000	278000	which means that at certain moments,
278000	279000	at certain times,
279000	281000	the intensity of my signal is actually very low.
281000	283000	Let's not discuss this complicated situation today.
283000	286000	Let's continue to discuss the above situation.
286000	289000	That is, in wired communication,
289000	292000	the signal is affected by noise.
292000	296000	When I receive this information,
296000	298000	it is inevitable that there will be errors,
298000	300000	and the information will be wrongly decrypted.
300000	303000	Common models,
303000	305000	common models for analysis,
305000	308000	include...
308000	309000	Wait a minute.
309000	310000	Common models for analysis,
310000	312000	there are the following two.
312000	314000	The first one is AWGN channel,
314000	316000	Additive Wide Gaussian Noise channel.
316000	318000	Basically, what it says is that
318000	321000	I input x1, x2 to xn.
321000	324000	The output I receive is y1, y2 to yn.
324000	328000	The output is what I send,
328000	331000	plus a random variable with a common distribution.
331000	333000	This random variable is a mutation.
333000	335000	But in fact, this problem is still very complicated.
335000	337000	We have made the problem so simple.
337000	338000	In fact, it is still very complicated.
338000	340000	So we will further consider
340000	344000	a simpler binary symmetric channel.
344000	345000	It only says that
345000	348000	the input today is x1 to xn.
349000	351000	At the receiving end,
351000	352000	we receive y1 to yn.
352000	354000	Then we limit x1.
354000	356000	Every x, every y,
356000	358000	is only 0 or 1.
358000	360000	What about the middle channel?
360000	362000	How does the middle channel
362000	364000	change these x and x?
364000	366000	For example, after sending in x1,
366000	368000	suppose it is 0,
368000	370000	then it has a certain probability
370000	372000	that p is converted to 1.
372000	374000	If it is converted to 1 today,
374000	376000	then this y1 is 1.
377000	379000	If it has not changed today,
379000	380000	then it is still 0.
380000	382000	Now the question is,
382000	384000	now the question is,
384000	386000	if I really use this,
386000	389000	suppose our channel is simplified like this,
389000	392000	only 0 or 1 can be fed in.
392000	394000	But there is a certain probability
394000	397000	that some input will be flipped,
397000	399000	will be changed.
399000	401000	How do I do the transmission?
401000	403000	How do I do the message transmission?
403000	404000	One way is
404000	406000	to send 0 or 1 directly.
406000	409000	Then I don't do any coding at all.
409000	411000	In this case,
411000	414000	the error rate is p.
414000	416000	Because it has given another x1,
416000	418000	its probability of being flipped is p.
418000	420000	So the error rate is p.
420000	422000	Is there a better way?
422000	423000	Of course there is.
423000	425000	We do some basic protection devices,
425000	427000	protection architecture.
427000	429000	For example, when I want to send 0,
429000	431000	I send it three times.
431000	432000	When I want to send 1,
432000	433000	I send it three times.
433000	435000	When I receive it,
435000	438000	we use the so-called multi-digit method.
438000	440000	The basic high-speed data can be calculated,
440000	441000	the error rate will be relatively low.
441000	443000	It probably looks like this.
443000	444000	But at the same time,
444000	446000	in order to send a bit,
446000	448000	I used three channels.
448000	450000	So my data rate,
450000	452000	that is, the speed of my data transmission
452000	453000	will be reduced.
453000	454000	Of course,
454000	456000	if I increase my repeated times,
456000	459000	it will definitely reduce my error rate.
459000	460000	But what is the price?
460000	462000	The price is that my data rate will be reduced.
462000	467000	And when my channel frequency increases,
467000	470000	its data rate will drop to 0.
470000	472000	In fact, this is not the result I want.
472000	474000	Because in order to protect it,
474000	475000	I send it so many times.
475000	478000	As a result, my data rate became low.
478000	481000	Then my question is,
481000	484000	is it possible to maintain the data rate at the same time?
484000	486000	For example, the data rate is not 0.
486000	489000	Reduce the error rate?
489000	493000	Then, this is a disaster question.
493000	496000	This is a problem that everyone can immediately think of.
496000	498000	But the first contribution is that
498000	501000	I will further analyze this problem.
501000	502000	The first one is
502000	505000	to further disassemble the question itself.
505000	506000	In the first part,
506000	508000	we add some conditions.
508000	512000	The first part is that we do not limit
512000	514000	coding or decoding.
514000	515000	For x,
515000	518000	I did not do any calculations for x.
518000	519000	For y,
519000	520000	I did not do any calculations for y.
520000	523000	There is no problem with computing complexity.
523000	524000	No matter if it is NP-complete.
524000	526000	If I have a super-powerful computer,
526000	528000	it can be instantly calculated.
528000	532000	Then, we do not limit the usage of channels.
532000	533000	Then,
533000	534000	further think about data.
534000	540000	These data bits can actually be borrowed from a table.
540000	543000	This table is on the right.
543000	544000	It sends these bits,
544000	545000	sends these data.
545000	546000	In fact, what did I send?
546000	548000	Which message did I send?
548000	550000	From 1 to M.
550000	551000	So,
551000	553000	the nature of this problem is to say,
553000	554000	for example,
554000	557000	I want to send the 10th message.
557000	560000	How do I design
560000	562000	this method of transmission
562000	565000	so that it can be correctly resolved
565000	567000	at the receiving end?
567000	568000	Then,
568000	570000	next is the rate.
570000	571000	The definition of rate,
571000	573000	as I just said,
573000	574000	is that
574000	576000	in the case of so many channels,
576000	578000	the usage of n channels,
578000	580000	how many bits did you send?
580000	581000	OK, there are M bits here.
581000	582000	So, in fact,
582000	585000	you can use log12 as your M to represent it.
585000	587000	So, there are a total of log12 bits.
587000	588000	So, you can get a basic,
588000	589000	this is the basic,
589000	591000	this is the level that high-level math can get.
591000	594000	That is, M can actually be written as 2nR square.
594000	595000	n is the usage of the channel.
595000	596000	Then,
596000	599000	R is the transmission speed.
599000	600000	Okay,
600000	601000	so, in fact, we will get used to it in the future.
601000	604000	We are used to using this 2nR square
604000	610000	to represent the number of messages.
610000	611000	Then,
611000	612000	it also tells you that
612000	614000	I want to make the error rate as small as possible.
614000	615000	It can only be said that
615000	616000	at the receiving end,
616000	618000	I sent a message
618000	619000	at the transmission end.
619000	621000	At the receiving end,
621000	623000	I will design a decoder.
