start	end	text
0	4000	Welcome everyone to today's Terra Talk.
4000	9000	Today is the whole summer vacation of Terra.
9000	12000	Because we did not plan for the summer vacation at the beginning of this year.
12000	14000	Because there are a lot of people joining this year.
14000	17000	So we arranged a new session during the summer vacation.
17000	21000	Today is the first speaker, the speaker of the summer vacation program.
21000	23000	Today's speaker is Chen Xinhao.
23000	27000	He graduated from the Department of Atmospheric Engineering of NTU.
27000	31000	He is currently a doctoral student in the Department of Atmospheric Engineering of NTU.
31000	33000	He is about to graduate.
33000	35000	Wait a minute.
43000	48000	His interest is mainly in the hot zone area,
48000	49000	which is near Taiwan.
49000	55000	This is the analysis and simulation of the diagnosis of the weather phenomenon to the mid-level.
55000	58000	Then there is a special thing that everyone in Taiwan is very familiar with.
58000	62000	Disastrous weather such as typhoons or heat currents after noon.
62000	66000	In terms of method, it is mainly used for numerical and weather forecasts.
66000	75000	Then he can provide this simulation to give a fixed amount of precipitation forecast and assessment.
76000	83000	In addition to the research part, Chen Xinhao is a very good friend of mine for more than 10 years.
83000	87000	We were classmates of the Taita Bicycle Club.
87000	90000	He had a very famous feature when he was on the club.
90000	93000	He is a human weather forecaster.
93000	95000	It is very important to the bicycle club.
95000	97000	So let's listen to him today.
97000	102000	How did he become an atmospheric scientist from a human weather forecaster?
102000	104000	The method of numerical simulation.
104000	106000	The topic he often tells us is
106000	113000	Medium-Range Cloud Resolving Typhoon Rainfall Ensemble Forecast for Taiwan Through Time-Lagging Approach.
113000	114000	This topic is very long.
114000	118000	So I hope Xinhao can tell us what his Chinese vocabulary is.
118000	121000	Without further ado, let's applaud and welcome him.
124000	125000	Hello everyone.
125000	128000	I am Chen Xinhao, the speaker today.
128000	130000	You can call me Guige.
131000	134000	Maybe because when I report to the police,
134000	139000	The main setting is related fields of research.
139000	143000	So if there is something in the middle that you can't understand,
143000	146000	You can interrupt and ask.
146000	150000	Because today I will report to the previous seminar.
150000	154000	Then I will explain the name a little bit.
154000	156000	The topic I want to talk about today is
157000	163000	Medium-Range Cloud Resolving Typhoon Rainfall Ensemble Forecast for Taiwan Through Time-Lagging Approach.
163000	171000	This is what he came up with after I came in from the PhD class.
171000	183000	For Taiwan, there is a new typhoon forecast strategy.
184000	186000	Okay, I don't care.
186000	189000	Let's start with the first one.
195000	200000	In our country, typhoon and rainfall are extremely low.
200000	206000	Every year, there will be a large loss of all kinds of life.
206000	209000	Typhoon is the main cause of Taiwan's drop in water.
210000	215000	This is the typhoon in 2016.
215000	216000	From 26th to 29th.
216000	219000	This is the drop in water for 26 hours.
219000	225000	The amount of wind and rain they bring can be compared to Taiwan.
225000	232000	Anyway, the typhoon is an important drop in water in Taiwan.
232000	236000	In addition, Taiwan is different from other places.
236000	237000	Taiwan is not a high mountain.
237000	241000	When the typhoon passes, it will cause a terrible drop in wind and rain.
241000	246000	Taiwan also has a lot of people living in the mountains because of the underground population.
246000	248000	The map is a map of Taiwan's geography.
248000	253000	The black spot is the location of the Yuliang Station in Taiwan.
253000	257000	Because of the high mountains and the people living in the mountains,
257000	262000	These two characteristics of Taiwan cause the typhoon forecast.
