start	end	text
0	12620	Hello everyone, welcome to TARA Talk. TARA is a friendly venue for young researchers in Taiwan, and we hold a TARA Talk every weekend throughout the year.
12620	22880	Its presentation format and content are very free and diverse, and we hope that everyone can come here to share the results based on their different career stages.
22880	29540	It does not necessarily need to be complete, but as long as you want to discuss or practice your speech, you are welcome to sign up.
29540	34400	What you see on the screen now is our next speech presentation.
34400	41820	If there are some students who are still in school, we have two very interesting speeches.
41820	52820	The first is to tell everyone at the end of July that if you have not yet reached that stage, you are a PhD candidate, how to have a successful PhD career as a junior.
52820	69820	On the 30th of July, the next week is actually another one, after you finish the PhD candidate, the senior PhD student behind it, how do you have some mindset to let you experience the speech of your graduation defense process.
70820	79820	You can scan the QR code for the complete list, and you can tell everyone after the speech, or there is also a post on the chat.
79820	93820	At the same time, we have also issued the NFT. After the speech, we will also tell everyone that if you are interested in receiving it, how to receive it.
94820	113820	Now I'm going to start introducing today's speaker. Our speaker is Wu Yanrong. The topic of his speech is the English version, and the Chinese version is the application of machine learning in space science.
113820	131820	The background he told us is that after graduating from the physics department of the University of Chenggong in 2017, he went to the space science lab in Berkeley, UC Berkeley to do postdocs, and then he could not leave.
131820	135820	Let's start the speech now.
162820	177820	If you have any comments or questions, you can also interrupt me in the speech at any time and ask questions.
178820	191820	The speech I prepared this week is about the application of machine learning in space science. I will talk about some of the attempts we have made, and then I will talk about some of the parts that we have failed.
192820	203820	Currently, I am an assistant researcher at the Berkeley branch of the University of California, Berkeley Space Science Lab.
204820	223820	This is the outline of my speech today. I will mainly spend some time talking about the geospatial environment, that is, the geospatial environment, and how we get data in the geospatial environment.
224820	232820	Next, I will introduce how we use the Principle Components Analysis.
232820	251820	Principle Components Analysis is the result of this kind of analysis method.
251820	271820	This analysis method is mainly used to find some feature patterns from all of our 2D images to find some spatial patterns.
271820	292820	The third theme is related to the neural network. We try to use the so-called long-short-term memory architecture.
293820	313820	We want to find some of our very popular neural network architecture from our space data.
314820	317820	Finally, I would like to introduce some of the parts that we have failed.
317820	337820	The first thing we want to do is to integrate two satellite observations using the neural network architecture.
337820	357820	The first thing we want to do is to integrate two satellite observations using the neural network architecture.
357820	377820	The first thing we want to do is to integrate two satellite observations using the neural network architecture.
377820	397820	The first thing we want to do is to integrate two satellite observations using the neural network architecture.
397820	417820	The second thing we want to do is to integrate two satellite observations using the neural network architecture.
