start	end	text
0	14000	Hello everyone, welcome to today's 9.19 Taira Talk. I am the host today, Hong Shi-an.
14000	19000	We are very honored to invite Liao Kun-yan to speak for us today.
19000	26000	Liao Kun-yan is currently a Ph.D. student in the Materials Engineering Department at Tokyo University.
26000	32000	Previously, he obtained a master's and master's degree from the German University of Munich.
32000	38000	He is mainly interested in electronic microscope and neutron scattering material analysis technology.
38000	53000	He is mainly interested in the structure of inorganic glass, the high-angle crystal, and the origin-density spectrum.
53000	61000	Today, he is going to talk about EELS, Electron Energy Low Spectroscopy.
61000	66000	Let's give him a round of applause to welcome him to give us today's talk.
66000	72000	Everyone, please turn on your microphones.
72000	76000	We'll leave the time to you.
76000	78000	Okay.
78000	81000	I'll start now.
81000	84000	The topic of my talk today is EELS.
84000	90000	I want to talk about why it is thought to be a synchrotron in electronic microscopes.
90000	96000	In addition to the introduction just now, let me introduce the department I am in now.
96000	101000	Our department is a department that attaches great importance to electronic microscopes.
101000	105000	We have about 20 electronic microscopes in our department.
105000	111000	We have about four or more electronic microscopes.
111000	122000	Our field includes instrument development, ceramic interface, crystal defects, and quasicrystal crystal.
122000	128000	Our department specializes in EELS and DFT calculation.
128000	137000	In order not to be the same as them, we specialize in non-static, liquid, and gas.
137000	144000	In the past, we have done a lot of liquid and gas EELS.
144000	150000	But this is a special instrument, so I won't talk about it in this talk.
150000	158000	My own research is that I am very interested in glass.
159000	168000	In addition to the fact that most of the glass you see on this screen is transparent and well-balanced material,
168000	174000	if you look at the inside of the glass from a nanometer perspective,
174000	177000	it may have a very small domain.
177000	181000	This is because of the domain caused by its phase separation.
181000	186000	It will also cause it to have different shapes and colors.
186000	189000	It will have different structures and textures.
189000	192000	My first year is mainly to study this.
192000	195000	Today's talk will also talk about some.
195000	202000	This year, my own theme is to adjust to the dopan in the glass.
203000	208000	Is the dopan in the glass a cluster or a particle?
208000	212000	Or is it a dopan that is separated from one atom by one atom?
212000	215000	What impact does it have on the quality of the glass?
215000	217000	This is my own theme.
217000	219000	I won't talk about this today.
219000	229000	Another thing I will mention is that I have measured the thermal expansion coefficient of some crystal surfaces.
229000	232000	I may have a chance to mention it today.
232000	237000	This is related to optical characteristics and PLASMO.
237000	239000	I will mention it later.
239000	247000	Basically, this is the outline of today's speech.
247000	253000	I will first tell you why we want to make electronic microscope.
253000	255000	How do we see the origin?
255000	258000	Finally, I will talk about EOS.
258000	262000	It may take a lot of time in the first half.
262000	267000	After all, I'm not sure what the audience's background is.
267000	271000	So I will talk about what the electronic microscope is doing.
271000	280000	Basically, all microscopes, no matter what particle you use,
280000	289000	The earliest microscope should be the optical microscope invented by Hucke in 1665.
289000	294000	Hucke is the most familiar with its spring, Huckelo.
294000	297000	But in fact, he also did a lot of things.
297000	300000	One of them is the optical microscope.
300000	308000	Then he went through a very simple observation of what the cells and insects look like.
308000	314000	Then he drew it down and got some new knowledge from it.
314000	317000	But this is in 1665.
317000	322000	Of course, for the people at the time, this may be a very incredible research.
322000	325000	Then he really told us a lot of things.
325000	328000	But if you only have optical microscopes,
328000	331000	In fact, it is not enough today.
331000	335000	The reason is that if you only have optical microscopes,
335000	339000	You won't know what happened to us this year.
339000	342000	That is, if you don't have an electronic microscope,
342000	345000	In fact, you can't see the virus.
345000	347000	Then you can't see the coronavirus.
347000	350000	You won't know what happened this year.
350000	355000	This photo is from the Institute of Health in the United States.
355000	360000	Photos of the coronavirus, electronic microscope photos.
360000	363000	Then the one on the right is the structure of the virus.
363000	365000	Photos of the electronic microscope.
365000	367000	It was also published this year.
367000	374000	The electronic microscope seems to have won the Nobel Prize in Chemistry in 2011.
374000	376000	It is also a very popular field.
376000	380000	But I won't mention it because I'm doing it completely.
380000	384000	So we won't discuss the electronic microscope today.
384000	386000	But it is also a powerful tool.
387000	392000	So seeing this kind of small-scale thing,
392000	399000	It is an advantage that makes electronic microscopes unique.
399000	405000	So if you look at it from the perspective of a microscope,
405000	409000	Because what I learned myself is material science.
409000	416000	Material science is a very complicated subject.
416000	420000	The reason is that it is a cross-level problem.
420000	426000	For example, I used to do metal materials.
426000	429000	Suppose you want to design a metal material.
429000	431000	You have to consider a lot of things.
431000	435000	You have to consider what happens to its surface at the level of a microscope.
435000	437000	Is there a crack?
437000	442000	You have to find out how many phases are there in the material.
442000	445000	What is its texture?
445000	447000	Is there any adsorption?
447000	452000	Finally, return to the characteristics of the metal material.
452000	454000	To deal with such a problem,
454000	460000	In fact, we need a lot of different tools in different systems.
460000	466000	For example, if we need EBSD for the level of a microscope,
466000	469000	We need some mechanical tools to measure.
469000	473000	At the level of a microscope, we need high-resolution TEM.
473000	478000	Even if you need a very high-resolution spectrum like AtomPROP
478000	481000	To confirm your chemical composition.
481000	485000	On the other hand, if you are doing simulation,
485000	487000	You will find that the people of mechanics
487000	491000	The most important simulation they do is called Finite Element Method.
491000	496000	Finite Element Method simulates some of the characteristics of mechanics.
496000	499000	But in the Finite Element Method,
499000	501000	You still have to have physical properties.
501000	505000	So you have to do some molecular mechanics,
505000	509000	Modicaro, and even DFT, Programme Mechanics.
509000	511000	So simply put,
511000	515000	If you really want to fully understand material science,
515000	518000	You have to have all of these things.
518000	522000	In comparison, the level of a microscope
522000	527000	In fact, the knowledge we currently have in technology
527000	530000	In fact, it is already very sufficient.
530000	533000	Basically, there is nothing you don't know.
533000	536000	Most of the problems on the level of a microscope can be solved.
536000	538000	But at the level of a microscope,
538000	542000	We will have a lot of difficulties just measuring.
542000	545000	That's why I want to talk about this today.
546000	550000	In particular,
550000	553000	If you look at it from a physical point of view,
553000	556000	In fact, we deal with these problems.
556000	560000	There is a tool called Large-Scale Facility.
560000	565000	That just happens to be STEM, Singleton Radiation, and Neutron Source.
565000	567000	I have done these three experiments.
567000	571000	I also want to briefly talk about their differences.
571000	577000	In general, Taiwan currently has the middle one and the left one.
577000	579000	Some universities in Taiwan have the left one.
579000	582000	The middle one is Neutron Radiation.
582000	584000	Taiwan's Neutron Source.
584000	587000	It is the third generation of Neutron Radiation.
587000	590000	It is also a very powerful method.
590000	593000	There is a big difference between them.
593000	597000	In addition to the type of radiation you use,
597000	601000	This one uses electrons, this one uses light, and this one uses neutrons.
601000	604000	Their sample duration is actually very different.
604000	608000	For example, if you look at a microscope,
608000	612000	The property you get, the amount you get,
612000	615000	Or the area you observe,
615000	617000	It's actually a very small range.
617000	620000	Simply put, there is a saying,
620000	622000	See the tree but not the forest.
622000	626000	You can only see the tree, but you ignore the forest.
626000	629000	A microscope is a bit like looking at a tree.
629000	634000	So your resolution is around nanometers.
634000	636000	It's great.
636000	640000	But if you want to go to a higher resolution,
640000	646000	In fact, Neutron Radiation is a more suitable tool.
646000	650000	Because what you see in your Neutron,
650000	654000	The size of your crystal sample is about micrometers.
654000	658000	If you want to study more industrial problems,
658000	662000	To the size of millimeters, centimeters, or even meters,
662000	666000	Neutron Radiation is a very good choice.
666000	670000	Because you can put a centimeter sample in.
670000	672000	When I was at Muniher,
672000	675000	At that time, there were some BinLine.
675000	677000	Muniher is the headquarters of BMW.
678000	682000	They can put a whole car engine
682000	685000	Put it in the BinLine of Neutron Radiation.
685000	689000	To see some images of its engine.
689000	694000	In addition to the sample size,
694000	698000	Its interaction with matter is also very different.
698000	703000	Neutron, whether you are magnetic radiation or nuclear scattering,
703000	705000	It's all very weak.
705000	707000	It doesn't destroy your sample.
707000	710000	But electrons are easy to destroy.
710000	713000	Or change your sample.
713000	716000	This is also something we need to pay attention to.
716000	719000	If you say so,
719000	721000	There is a big difference.
721000	724000	The middle and the far right,
724000	726000	They are all user facilities.
726000	729000	That is, you don't need to know anyone in there.
729000	733000	You just need to apply for your project.
733000	736000	If your project passes, you can do the experiment.
736000	738000	Even if you have nothing to do with it.
738000	741000	But it's a pity that in the electronic microscope,
741000	744000	In fact, there are not so many user facilities.
744000	748000	So most electronic microscopes are still owned by a small number of people.
748000	750000	If you want to do a similar experiment,
750000	753000	You have to know someone.
753000	756000	There are some user facilities.
756000	760000	At the end of the speech, we will tell everyone.
760000	762000	If you want to do it, you don't know anyone.
762000	764000	You can go there and do it.
764000	766000	It will be put at the end of the speech.
766000	770000	What kind of user facilities can be used?
770000	776000	In fact, people in the past have never thought about
776000	779000	To turn electronic microscopes into
779000	785000	Such a public instrument such as neodymium magnets or copper radiation.
785000	787000	One of the reasons is because
787000	791000	Electronic microscopes were not so powerful at the time.
791000	793000	It can't do so many things.
793000	798000	But recently, it can really do a lot of things.
798000	801000	If you are interested, you can look at this paper.
801000	807000	Why neodymium magnets in electronic microscopes
807000	813000	It really causes electronic microscopes to become a single-chrome radiation.
813000	815000	If you are interested, you can refer to it.
816000	823000	The biggest problem I want to talk about today is
823000	826000	Between me and the audience
826000	830000	Maybe a lot of people have different views on electronic microscopes.
830000	834000	Of course, some people have similar views.
834000	838000	If you are from the Microscopic Society, you may have a closer view.
838000	840000	The first thing I want to talk about is
840000	843000	How do we see atoms?
843000	850000	In fact, this topic has won awards in 2011 and 2020.
850000	854000	Wolf Prize, Cavalier Prize, and Nano Prize
854000	857000	I showed a picture here.
857000	863000	It is a high-resolution TEM image.
863000	867000	Its material is iron.
867000	874000	Iron is a popular topic.
874000	880000	If you don't know much about electronic microscopes,
880000	882000	I think you can ask three questions.
882000	887000	I want to answer these three questions in the next section.
887000	892000	The first thing is how to see such an image.
892000	898000	If you have the opportunity to use an electronic microscope,
898000	903000	Is it easy or difficult to see such an image?
903000	905000	This is the first question.
905000	909000	The second question is if you observe this image
909000	916000	If you look at its atoms, it will have yellow, orange, and blue atoms.
916000	922000	If you look at the left and right, you will find that the orange atom is at the top of the blue atom.
922000	927000	The orange atom is at the bottom of the blue atom on the right.
927000	934000	You will find that we can observe the deviation of several atoms.
934000	939000	The second question is how do I know which atom represents which element?
939000	943000	What kind of atom is the image it sees?
943000	945000	How do we distinguish the atoms?
945000	947000	This is the second question.
947000	951000	The third question is what is not in such an image.
951000	957000	The information in such an image is the electrical field and magnetic field.
957000	959000	If there is an electronic microscope,
959000	965000	I can't see the electrical field and magnetic field with the latest electronic microscope.
965000	967000	This is the third question I want to answer.
968000	971000	Let me give you a brief introduction.
971000	975000	Electronic microscopes are very different from optical microscopes.
975000	981000	But the structure is basically the same.
981000	983000	You have a light source.
983000	985000	This is an electron.
985000	990000	You have a condenser lens.
990000	995000	The only difference is that the optical microscope on the left is a glass lens.
995000	998000	The electron on the right is a conductive electron.
998000	1001000	So you use a magnetic lens to focus on the electron.
1001000	1003000	There is also a sample.
1003000	1004000	There is also a fog lens.
1004000	1006000	There is also a projection lens.
1006000	1012000	So the simplest way to understand is that the electronic microscope is an optical microscope.
1012000	1015000	Just use the electron as a light source.
1015000	1017000	If you understand this way,
1017000	1019000	In fact, most things can be solved.
1019000	1022000	Because most people should have encountered optical microscopes.
1022000	1026000	The only difference is that you need a large electronic microscope.
1026000	1028000	It needs high vacuum.
1028000	1032000	But in addition, you can really use it as an optical microscope.
1032000	1039000	Of course, electrons and substances have different effects.
1039000	1045000	The biggest reason why I use electronic microscopes is
1045000	1052000	In fact, the wavelength of electrons is much smaller than that of normal visible light.
1052000	1061000	If you have studied physics and are familiar with light, you may know that there is a formula called Abbey Diffraction Limit.
1062000	1080000	Basically, what he is talking about is that no matter how small the light is, the resolution will still be limited to the wavelength.
1080000	1084000	This is a physical limit.
1084000	1089000	The maximum resolution is your wavelength divided by 2.
1089000	1098000	Of course, this limit was broken in 2011 by the Super Resolution Optical Microscope.
1098000	1102000	But in general, this is the limit of optical microscopes.
1102000	1111000	If you look at this formula, you can intuitively see that if you want to improve your Abbey Diffraction Limit,
1111000	1116000	You have to find a way to make your wavelength smaller.
1116000	1122000	The reason why I use electrons is actually because of the resources.
1122000	1130000	Because when you apply a very strong electric field, the wavelength of electrons can be very small.
1130000	1138000	For example, if you apply 300 kV, your electronic wavelength can be up to 1 picometer.
1138000	1145000	In principle, you should be able to see the resolution of 1 picometer.
1145000	1148000	But this is actually wrong.
1148000	1150000	Then I will explain why this is wrong.
1150000	1156000	But the basic concept is that the reason you use electrons is because the electromagnetic wavelength is very short.
1156000	1159000	Then it can help you see things more clearly.
1159000	1161000	Why is it wrong?
1161000	1166000	It's because our lens is actually not perfect.
1166000	1173000	There is something called Spherical Aberration Curve.
1173000	1181000	To put it simply, you start from the same point from different angles.
1181000	1189000	You can't actually focus on the same point through different angles.
1189000	1197000	Of course, if you read a high school textbook, it will tell you that no matter which angle you start from, it will focus on a focus point.
1197000	1200000	But in fact, you can't actually focus on a point.
1200000	1206000	To be more specific, what is Spherical Aberration Curve in real life?
1206000	1214000	It's a bit like you take a glass cup and put it on a floor with patterns or sandpaper.
1214000	1219000	You will find that the part you see clearly is only a small area in the middle.
1219000	1221000	But the sides are all curved.
1221000	1225000	This is the reason for Spherical Aberration Curve.
1225000	1232000	The more you move away from the center of the light, the more you can't actually focus on the same point.
1232000	1235000	So what you see is curved.
1236000	1240000	In fact, in the electronic microscope...
1258000	1260000	Can you hear me?
1260000	1264000	Sorry, I'm not sure what happened just now.
1264000	1268000	But there is also this problem in the electronic microscope.
1268000	1275000	So the first thing you see is how to fix this problem.
1275000	1279000	In fact, this story can be recited for a very long time.
1279000	1285000	But simply put, there are four people who contribute in this field respectively.
1285000	1290000	The story began in the early 1940s.
1290000	1295000	After 40 or 50 years of hard work,
1295000	1304000	people found this problem and solved it.
1304000	1312000	The method they used was to use a lot of electronic probes to try to correct this difference.
1312000	1315000	Of course, this electronic probe is a very complicated result.
1315000	1319000	According to my research, in the latest electronic microscope,
1319000	1331000	you need to have 20 layers of this kind of electronic probe to achieve a good resolution.
1331000	1334000	But in short, this is a success.
1334000	1341000	So now we can see the origin through this Spherical Aberration Curve.
1341000	1349000	Most users don't really need to know how to control it.
1349000	1354000	Basically, the maintenance staff will help you adjust it.
1354000	1359000	So if you use an electronic microscope now,
1359000	1362000	how much resolution can you get?
1362000	1363000	I have a picture here.
1363000	1367000	On one side is TEM, and on the other is STEM.
1367000	1371000	The one in the middle is the resolution before correction,
1371000	1375000	and the one in the back is the resolution after correction.
1375000	1378000	Of course, you can't see how well it has changed in this picture.
1378000	1381000	But it's obvious that it's clear.
1381000	1384000	For most people, this is enough.
1384000	1389000	If you look at the picture on the right,
1389000	1393000	it's actually a silicon.
1393000	1398000	There's a certain angle in the middle.
1398000	1402000	If you do a Fourier Transform,
1402000	1406000	you'll see this kind of Diffraction Pattern.
1406000	1409000	It's obvious that if you don't have a corrected picture,
1409000	1415000	the Diffraction Pattern limit you see is about 1.92 Angstrom.
1415000	1417000	If you go through the correction,
1417000	1421000	you can see that the limit is about 0.76 Angstrom.
1421000	1423000	That's 76 picometers.
1423000	1426000	This resolution is probably in 2002.
1426000	1428000	The data I found,
1428000	1430000	if you are a modern electronic microscope,
1430000	1433000	it should be able to reach more than 50 picometers.
1433000	1436000	As mentioned earlier,
1436000	1438000	the Cornell DMV group,
1438000	1440000	if they do Tycography,
1440000	1442000	it can reach 40 picometers.
1442000	1444000	That's the current record.
1444000	1449000	Your resolution is higher than 40 picometers.
1449000	1453000	If you hear this,
1453000	1455000	I think some people may have a question.
1455000	1458000	Why do I need such a high resolution?
1458000	1461000	I'll give you two examples.
1461000	1464000	Why do we need this resolution?
1464000	1467000	The first example is a carbon nanotube.
1467000	1469000	If you look at this picture,
1469000	1470000	the picture on the left,
1470000	1472000	if you don't do analysis,
1472000	1473000	you can't see any difference.
1473000	1475000	This is a very beautiful
1475000	1477000	atomic resolution carbon nanotube.
1477000	1479000	But if you do analysis,
1479000	1481000	every point,
1481000	1482000	intensity,
1482000	1484000	if you do Gaussian fitting,
1484000	1486000	you will find that you can analyze
1486000	1488000	one atom, one atom,
1488000	1490000	how many positions it deviates.
1490000	1493000	You can see this value.
1493000	1497000	This color represents the distance it deviates.
1497000	1499000	All units are picometers.
1499000	1502000	That is, through modern electronic microscope,
1502000	1504000	you can see from the position of the atom,
1504000	1506000	you can know its
1506000	1508000	carbon nanotube
1508000	1510000	the distribution of gravity.
1510000	1512000	Then you can know which atom is deviating.
1512000	1514000	Do this kind of very
1514000	1517000	high-precision measurement.
1517000	1520000	This is very important for imaging.
1520000	1522000	It is also important for EOS,
1522000	1524000	for light sampling.
1524000	1525000	The reason is because
1525000	1527000	if you want to see
1527000	1530000	the light sample of a single atom,
1530000	1532000	you must look at it very clearly
1532000	1535000	to understand which atom is what.
1535000	1537000	This work is
1537000	1539000	Suenaga,
1539000	1541000	he is Japanese,
1541000	1543000	a Japanese broadcaster.
1543000	1546000	The main idea of this work is
1546000	1547000	he wants to look at
1547000	1548000	the green one,
1548000	1551000	the common graphene carbon,
1551000	1553000	and the two-handed carbon
1553000	1554000	on the edge of the graphene,
1554000	1556000	to this one-handed carbon.
1556000	1558000	What is the difference in its light sample?
1558000	1561000	What is its impact on the quality of graphene?
1561000	1563000	He really went to do it.
1563000	1565000	I have a question.
1565000	1567000	Sorry,
1567000	1569000	I'm not an electronic microscope,
1569000	1571000	so I might ask a very out-of-the-way question.
1571000	1573000	You said that your displacement
1573000	1575000	is probably at
1575000	1577000	dozens of picometers,
1577000	1580000	this level.
1580000	1582000	You can probably say
1582000	1584000	how much of this displacement
1584000	1586000	comes from the incident particle,
1586000	1587000	which is your electron,
1587000	1589000	plus the displacement.
1589000	1590000	What is the percentage,
1590000	1592000	or what is the percentage?
1592000	1593000	I don't know.
1593000	1595000	The first thing I want to say is
1595000	1597000	this is
1597000	1598000	how to say it,
1598000	1599000	that is,
1599000	1600000	modern,
1600000	1601000	you can,
1601000	1602000	because electronic microscopes
1602000	1604000	are actually quite long-standing
1604000	1605000	studies,
1605000	1607000	so a lot of information,
1607000	1609000	like how much energy
1609000	1611000	your electron emits
1611000	1613000	to a single atom,
