start	end	text
0	9720	大家好,歡迎大家來到今天的Chad Talk,我是今天的主持人張燕永。
9720	18440	非常感謝我的好朋友何淑瑜願意在即將要跨年的聖誕假期來給我們這個演講。
18440	27680	首先,我來介紹一下何淑瑜。她目前是在日本的東北大學物理系做博士班二年級。
27760	36720	她做的領域主要是粒子宇宙學,探討的是如何從微觀尺度的粒子交互作用來理解早期宇宙的演化。
36720	40960	她大部分的工作都是跟暗物質有關。
40960	52440	她在給我的介紹裡面沒有講到,但是她在來之前是在台大跟何曉剛老師做現象學的,所以其實跟她現在的研究是非常相關的。
52440	57400	我跟她也有幾年的聯繫,在我現在的地方,在Caltech,所以我們是很好的朋友。
57400	66480	她近期主要的研究是做Exon,他們認為這是暗物質非常熱門的候選之一。
66480	80320	她今天要跟我們講的題目也是跟Exon有關,她的題目是Enhanced Photon Coupling of APL。APL就是Exon-like Particle, Dark Matter, Adiabatically Converted from QCD Exon。
81320	87320	一件小提醒,就是大家如果要鼓掌的時候,記得要把麥克風打開,我們的講者才會聽得到。
87320	91120	那我們現在就來鼓掌,歡迎何淑儀給我們帶來今天的演講。
110320	134320	我今天要講的主題是,我主要研究的題目是Exon,Exon它本身會跟光子做交互作用,一般光子跟Exon的交互作用是很小,也就是說目前實驗上我們還沒有辦法真正探測到它。
134320	143320	所以我們目前這個工作的主要目的就是要從現象學的角度,想要跟Photon的Coupling把它Enhanced。
143320	156320	我們主要的方法是透過跟Alp有一個所謂的Max Mixing,我們會達到這個效果,那剩下的細節我會在後面的slide裡面講一下。
156320	172320	那在這之前呢,必須要給大家一些預備知識,因為可能不是每個人都很熟悉Exon,甚至有些人可能不了解什麼是Documentor,所以我在前面會先做一些簡單的基本介紹,那我們就直接開始了。
172320	185320	那你現在看到的第一頁是所謂的粒子物理標準模型,那我們一般就直接簡稱它叫做Standard Model或是SM,就取第一個字的英文字母。
185320	197320	那基本上標準模型很簡單,它就分成兩類,一個就是我的物質,然後左邊所謂的物質,右邊是所謂的基本交互作用。
198320	212320	那物質呢其實也分成兩類,一類是稱為Quark,然後另外一類稱為氫質,那譬如說大家比較熟悉的像是Electron,它就屬於氫質這一類。
212320	231320	那另外一個是可能大家比較不熟悉,但是其實大家對它的素材比較了解,就是所謂的質子。質子是大家圖片上看到的U-Quark、Up-Quark跟Down-Quark所組成。
231320	242320	那中子也是,所以這是大家比較熟悉的幾個particle。那當然還有其他Quark,那這是後來陸續發現的新的粒子。
242320	251320	那除了物質以外,我們當然還有所謂的交互作用,那交互作用基本上分成這幾類。
251320	271320	第一個大家看到這個G,我們稱作Gluon,那它是所謂強交互作用的一個媒介particle。那強交互作用我們一般簡稱QCD,就是Quantum Core Dynamics,那這個字我們等一下在後面會看到,因為這跟我們待會要討論所謂的CP Problem有點關係。
271320	289320	那第二個呢,是所謂的電磁作用,那這個應該是大家最熟悉的,可能從以前國中甚至日常生活就可以知道這個交互作用。那電磁作用的這個媒介呢,我們是用光子做傳遞。
289320	308320	那電磁作用在我們的領域我們喜歡稱作QED,叫做Quantum Electro Dynamics,那除了這兩個作用之外,我們還有所謂的弱作用,那弱作用一般是用來描述所謂的Beta Decay的現象。
308320	332320	那大家有沒有發現,除了這幾個交互作用,還有一個交互作用大家可能沒有在這個table上寫下來,就是所謂的重力作用。那因為目前我們標準模型呢,並沒有把這個重力包含進來,因為我們並沒有發現所謂的Graviton,就是重力值,所以還不包含在這個標準模型裡面。
332320	353320	那可能還有一個東西可能大家可能很熟悉,但是在這個表裡面沒有看見,就是所謂的這個Higgs Particle,那這個Higgs Particle呢,它是在應該是2012年,我記得我是當替代的時候發現的,所謂的Higgs Particle,那Higgs Particle一般就是所謂的這個mass的origin,就是質量的來源。
354320	365320	那我今天研究呢,可能這跟這個Higgs呢,有點關係,可是又不太有關係,那我主要是focus on所謂的Guron這個部分,因為這個Guron會引出所謂的action的問題。
365320	383320	那當然,雖然粒子物理標準模型呢,在目前來說,就是被實驗能test的是非常,我不能說完美啦,但是就是說,至少大部分目前我們看到的一些現象呢,都可以用粒子物理標準模型來解釋。
384320	399320	但這樣講是有些缺陷,因為事實上有些問題呢,標準模型是無法理解的,譬如說第一個所謂的暗物質,那這等一下我會做介紹,那還有所謂的這個強CP problem,這是我直接翻譯的,一般我們就直接叫做Strong CP problem。
400320	428320	那還有像是所謂的偽中的質量,譬如說剛剛在這個table裡面呢,有沒有看到這個綠色的最下面三個particle,那這所謂的neutrino,因為在neutrino,因為neutrino在標準模型裡面,它是沒有質量的,但是呢,因為透過我們看到這個neutrino這個oscillation,那這impress,所以neutrino必須要有質量,但標準模型這個,我們neutrino是不能有質量的,所以這個也是一個標準模型來解釋的問題。
428820	443820	那還有所謂的暗能量,那一般這個可能是可以用所謂的Cosmology constant來解釋,那還有所謂的Current gravity,and so on。那今天我的研究的比較相關的是第一個跟第二個,所謂的暗物質跟這個Strong CP problem。
444320	466320	那我們先來介紹一下所謂的暗物質,那怎麼知道會有暗物質的存在呢?我們可以先從這個所謂的星際旋轉曲線來看,那這個星際旋轉曲線我記得沒錯的話應該是Rubin吧,好像是Rubin他所提出來的,他是一個女性科學家,不過好像前幾年過世了吧,我應該記得沒錯的話。
466820	490320	那這個現象其實很簡單,就是說我們可能國高中學過這個牛頓萬有力定律嘛,所以我們可以預測說一個物體,就一個星球對著太陽系做這個繞行的話,它這個繞行的速度應該要跟它的,應該要跟它跟太陽的或是星系中心的這個距離開更大程反比。
