start	end	text
0	9000	Hello everyone, my name is Wu Mengchang, and I am a student at Mata University.
9000	16000	What I want to talk about today is about 4-way mixing and squeeze light.
16000	22000	If you have any questions at any time, you can ask, just turn on your microphone.
22000	33000	My field is in the field of atomic physics, which is relatively low-energy physics.
33000	44000	Our research unit is JQI, which is the United States Department of State.
44000	52000	It is a rather special institution, which is under the Department of Commerce in the United States.
52000	58000	Although they don't sound like they are doing this kind of specialized research,
58000	63000	they have actually won four Nobel Prizes in atomic physics.
63000	68000	So it's a pretty special national standard.
68000	71000	My instructor is Paul Leitz.
71000	77000	Our main source of research funding is from the Air Force in the United States.
77000	85000	At the beginning, I want to let everyone know what squeezing means.
85000	111000	We want to compress all the information into a better measurement.
112000	116000	After watching the video, let's get down to business.
116000	121000	The experiment we are doing now is using laser light.
121000	126000	The characteristic of laser light is that it is a coherent state.
126000	129000	What is a coherent state?
129000	133000	I don't know if you've heard of it.
133000	136000	I'm sure you've heard of the non-coherent principle.
137000	141000	The non-coherent principle tells us that we can't...
141000	149000	We used to think that the results of delta x and delta t must be greater than h-bar.
149000	158000	We can imagine that our laser light has a so-called non-coherent property.
158000	165000	Non-coherent property means that it has its government amplitude and its horizontal axis.
165000	171000	Both of these can't be measured very accurately in practice.
171000	174000	That is to say, it has its limits.
174000	180000	You can see that when our laser light is in coherent state,
180000	183000	Basically, it's always in coherent state.
183000	187000	When it's in coherent state, you'll see its...
187000	192000	Its FN or phase fluctuation is actually...
192000	194000	Its result is in...
194000	203000	That is to say, the curve on the left represents the line that meets the non-coherent principle.
203000	207000	Mathematically, we know that when your delta...
208000	213000	My y-axis is delta e, and my x-axis is delta phi.
213000	216000	If these two variables are in the minimum value,
216000	222000	When the two are equal, they are actually in their so-called minimum value.
222000	227000	Laser light is when these two values are equal.
227000	231000	Then it presents such a coherent state.
231000	236000	So what is Squeeze state?
236000	239000	Squeeze state means that you can...
239000	245000	That is to say, we don't need to measure all the information of laser light very accurately.
245000	249000	We can say that we just need to measure the phase very accurately.
249000	253000	Or we can measure our government very accurately.
253000	256000	When you see that your phase is measured very accurately,
256000	260000	In fact, it still meets its non-coherent principle.
261000	265000	Then it will lead to the inaccuracy of your government.
265000	267000	It will become very large.
267000	271000	Then your phase can be measured very accurately.
271000	274000	So a while ago, probably the year before last,
274000	277000	Isn't there a gravity wave measurement experiment?
277000	284000	It is to use this Squeeze light to throw away your impurities.
284000	287000	I will talk about quantum impurities.
287000	290000	Because you are in coherent state.
290000	295000	Then go to the limits of quantum mechanics.
295000	300000	Then push it to compress it so that you can measure the phase very accurately.
300000	305000	Then they may have a so-called interferer.
305000	309000	Then the interferer can measure the phase of something.
309000	312000	If the gravity wave passes over the earth,
312000	320000	Then you can measure the phase of this gravity wave.
320000	322000	There will be some changes.
322000	325000	As long as you have a way to enter this Squeeze state,
325000	331000	You can let a certain frequency of the phase be able to measure it very accurately.
331000	335000	Because the gravity wave passes through like this,
335000	337000	So its frequency will be very weak.
337000	340000	If you are very weak, your impurities will be very strong.
340000	344000	You need to have a way to get rid of this impurity.
344000	348000	Then measure to the phase you want.
351000	354000	But what we did in the experiment,
354000	357000	We did another one.
357000	360000	We are so-called Two-Mode Squeezing.
360000	362000	Two-Mode Squeezing is to say,
362000	368000	I'm producing two intangles of light.
368000	373000	That is to say, I now have some special light and non-linear effects.
373000	377000	Then produce two intangles.
377000	379000	What about these two intangles?
379000	383000	Some of their signals are exactly the same.
383000	386000	So if I input a light,
386000	388000	That light is called Probe.
388000	390000	Then it will produce its oscillation.
390000	392000	It uses a Twin Beam.
392000	395000	These two lights have each other.
395000	398000	For example, there is quantum co-relative.
398000	401000	That is, quantum co-relative.
401000	403000	Quantum co-relative.
403000	408000	So when I can put these two lights together,
