start	end	text
0	10000	大家好,歡迎來參加今天的Project Terra的講座。
10000	14000	我是今天的主持人,叫我Ted就好了。
14000	23000	今天我們請來的講者是在Caltech的當彥勇,他在Caltech的NASA JPL工作。
23000	31000	那他今天的題目是Connected Inductance Detector for Next Generation Dark Matter Search。
31000	35000	好,所以彥勇,交給你了。
35000	37000	嗨,大家好。
37000	41000	因為今天的演講比較像是update最近的狀況。
41000	45000	因為其實我之前做的東西,我之前好像一年前什麼都講過吧。
45000	49000	因為其實做的內容是差不多,只是有新的進度。
49000	55000	所以有些地方可能會講得比較快,然後有些地方可能不會講得很清楚之類的。
55000	57000	那大家如果有問題就盡量問。
57000	61000	因為老實說,我最近非常忙,所以我投影片今天早上才開始做。
61000	65000	所以如果大家不問問題,非常快就會結束了。
65000	67000	那今天的題目是Connected…
67000	73000	我補充一下,就是大家進來預設的時候是沒有開麥克風的。
73000	77000	所以如果要問問題,你要點一下麥克風,讓他unmute。
77000	81000	所以你才可以問問題,講起來聽得到。
81000	87000	那同時你也可以在旁邊的chat,提出你想要問的問題也都可以的。
87000	89000	好,不好意思,彥勇開始吧。
89000	95000	好,然後我還有另外一個問題,就是大家看得到我的那個滑鼠嗎?
95000	97000	看得到嗎?看得到吼。
97000	101000	好,因為我可能會很常講這個這個之類的,所以要滑鼠。
101000	109000	好,那OK,所以我今天的題目是Connected Inductance Detector for Next Generation Dark Matter Search。
109000	113000	所以大家可以看得出來題目就是兩個部分。
113000	119000	一個部分就是說,我們現在在想啊,在搜尋Dark Matter,暗物質這個東西。
119000	122000	在現階段,然後從我們現階段去看未來的發展。
122000	126000	然後呢,另外一部分主要的部分,這個talk另外一個部分主要就是講,
126000	131000	我們認為我們可以apply這個,我們叫KIT,K-I-D,Connected Inductance Detector,
131000	138000	作為下一個主要的,我們認為會非常有競爭力的這個technology來做這件事。
138000	145000	好,然後這個work主要是來自於就是我在地方Caltech,還有NASA JPL,
145000	147000	就是噴射推進實驗室。
147000	153000	那當然這整個work其實是based on更大的project叫Super CDMS,那待會我也會講。
153000	156000	但是我要強調一下,KIT這個東西現在還不是CDMS project,
156000	161000	所以它比較像是我們自己的R&D,但是我們是在一個大的collaboration裡面做的。
161000	167000	好,那現在大家看到這第一頁,這第一頁就是我們現在的prototype。
167000	173000	那給大家一個sense就是說,這個大小啊,這個圓形是3吋,它的直徑是3吋,
173000	176000	就大概跟一個手掌一樣大。
176000	183000	所以現在看到這一個小小的長方形啊,這大概是一個1mm的大小,
183000	188000	然後這上面有80個小小的這個island,待會我會解釋它到底是什麼東西。
188000	197000	好,然後這個盒子呢,它基本上是掛在一個西式製冷機上面,
197000	202000	所以它可以被降到mini Kelvin level的溫度,
203000	206000	所以我待會會解釋為什麼我們要這麼做。
206000	213000	好,首先今天的outline就是,因為我們今天不是有particle physics背景的人,
213000	218000	所以我今天還是會稍微解釋一下就是說,為什麼我們認為有dark matter,
218000	220000	那dark matter到底是什麼東西。
220000	223000	那我這邊用一個協體,就是更重要的是,這是我們的focus,
223000	228000	為什麼我們現在覺得這個低質量,low mass dark matter是重要的一個課題,
228000	230000	那我們想要做這個東西。
231000	237000	然後再來呢,我會講就是super CDMS的這個detector叫HVE,
237000	241000	HVE就是high voltage,EV就是electron volt,
241000	246000	它其實就是要講說,我們在一個叫做high voltage mode的狀況底下呢,
