start	end	text
0	7000	Hello everyone, welcome to today's Chair Talk.
7000	10000	Our speaker today is Shuyu He.
10000	16000	Shuyu is now doing theoretical physics at Tohoku University in Tokyo, Japan.
16000	21000	He specializes in the theory of dark matter.
21000	25000	Shuyu He is actually a long-time friend of mine.
25000	28000	I'm sorry, I'm today's host, Zhang Yanyou.
28000	32000	Shuyu He majored in physics.
32000	37000	After graduating from physics, he went to Taiwan University to do his master's degree in dark matter.
37000	39000	He followed up with Mr. He Xiaoguang.
39000	44000	Then he came to Caltech and met me.
44000	47000	Now he's doing his PhD at Tohoku.
47000	52000	I don't know if I'm saying this correctly, but he should be graduating soon, right?
52000	54000	Next year, in September.
54000	57000	Yes, he's graduating soon.
57000	60000	The topic he's going to talk to us about today is
60000	66000	Hidden Monopole Dark Matter via XCO Portal and its Implications for Direct Search and Bind-Up Experiments.
66000	70000	This paper is actually already published in the archive.
70000	74000	If you look at the first page of the video, you can see the archive number.
74000	79000	Oh, by the way, when you clap, you have to turn on the microphone.
79000	81000	Only then can we hear you clap.
81000	89000	Let's give a round of applause to welcome Shuyu He to give us a wonderful speech today.
89000	93000	Thank you, Zhang Yanyou, for introducing me.
93000	97000	As you can see, the title of my speech is quite long.
97000	100000	Let me talk about a few key points first.
100000	106000	My speech today will focus on dark matter.
106000	108000	Dark Matter is the Chinese translation of dark matter.
108000	116000	I think if you don't usually do theoretical work, you should hear this term a lot.
116000	124000	Maybe through some of Taiwan's programs, you may hear the term dark matter.
124000	128000	Then you can see this hidden monopole in front of you.
128000	130000	Monopole is the Chinese translation of the word monopole.
130000	137000	If you have studied electronics, you will know that when we discuss electronics, we do not have a monopole.
137000	141000	Hidden, I will explain what it means.
141000	143000	Then there is action.
143000	146000	In my last speech, I basically made a long introduction.
146000	152000	But today, because of time, I should mainly focus on the introduction of dark matter.
152000	154000	So action, I might first mention it a little bit.
155000	159000	Then I will talk about the details of our model.
159000	163000	It is also applied in DirectSearch.
163000	167000	That is, directly detect the experiment of dark matter and the so-called Bindang Experiments.
167000	170000	I will mention these details at the end.
170000	174000	Let's go straight to the introduction of dark matter.
174000	180000	What you see on the screen now is our so-called example physical standard model.
180000	182000	Generally called Standard Model.
182000	187000	This model has been verified by a large number of experiments.
187000	189000	It is a very accurate theory.
189000	194000	Simply put, you can look at this picture.
194000	197000	Look at this E, this E is the so-called Electron.
197000	199000	This is the basic example that everyone is familiar with.
199000	203000	The focus is on Mu and Tau.
203000	207000	These examples are actually easy to find in the universe.
208000	213000	Then there is the so-called Mu, E, Mu, Mu and Mu, Tau is the so-called neutral value.
213000	217000	This is generally more unfamiliar.
217000	219000	But I won't touch this part in today's speech.
219000	223000	You can see that the red part above is the so-called Quarks.
223000	226000	Like this straight neutral value that everyone is more familiar with.
226000	229000	Basically they are not basic examples.
229000	231000	They are composed of these Quarks.
231000	238000	For example, this Proton is composed of two Up Quarks and one Down Quark.
238000	240000	That is the U and D on the graph.
240000	243000	There are heavier Quarks in the graph.
243000	248000	The purple part on the right side of the graph is the so-called basic force.
248000	250000	Everyone is more familiar with this Gamma.
250000	254000	That is the particle in the upper right corner.
254000	256000	It is the battery function that we are more familiar with.
256000	260000	The G below is the so-called強作用.
260000	263000	The Z and W are the so-called weakest.
263000	267000	In this regard, these two particles may not be often heard of.
267000	271000	Basically, today I am more focused on this Photon part.
271000	274000	I will introduce the so-called Hidden Photon later.
274000	278000	There is a Higgs in the middle of this graph.
278000	281000	You may hear this news often.
281000	282000	There is a report like this.
282000	286000	This Higgs is the source of the so-called Origin of Mass.
286000	288000	That's why matter has mass.
289000	294000	This Higgs has been predicted to exist for a long time.
294000	298000	The reason is that before it was discovered,
298000	302000	the history of standard models has been verified for a long time.
302000	304000	It is a very accurate theory.
304000	306000	But this Higgs has not been discovered.
306000	309000	This is the motivation for us to find it.
309000	314000	So I built a large-scale quantum detector in Europe later.
314000	317000	The so-called LHC.
317000	322000	I spent a lot of money on it.
322000	326000	I found it in 2013.
326000	329000	If I remember correctly, it was six or five years ago.
329000	331000	I don't know. It should be 2014.
331000	332000	I'm sorry.
332000	335000	What I want to say is that we should be able to see your mouse.
335000	337000	So you can move your mouse.
337000	339000	You can try it.
339000	341000	You can use it if you want.
341000	343000	Thank you for your advice.
343000	349000	Higgs was discovered in 2014.
349000	352000	Then, of course, the next year,
352000	355000	it seems that the Nobel Prize was awarded to Higgs.
355000	359000	It means that the last puzzle of the standard model has been found.
359000	363000	Although the standard model is so successful,
363000	368000	there are still many problems that cannot be explained.
368000	372000	These problems are listed on the right side of this video.
372000	373000	There are quite a lot.
373000	374000	Like the first so-called dark matter.
374000	379000	I'll talk about why I want to have dark matter.
379000	381000	There is also the so-called dark energy.
381000	385000	Dark energy is currently an explanation of why the universe is accelerating.
385000	388000	We observe that the universe is not static.
388000	391000	It is constantly expanding.
391000	394000	The only explanation is dark energy.
394000	397000	Simply put, it may provide some
397000	399000	similar
399000	401000	anti-gravity feeling.
401000	403000	There is also the so-called quantum gravity.
403000	405000	There is also the so-called gravity problem.
405000	406000	There is also the so-called gravity problem.
406000	407000	There is also the so-called gravity problem.
407000	409000	There is also the so-called gravity asymmetry.
409000	411000	In other words, our universe.
411000	413000	Our universe has the so-called anti-matter and positive matter.
413000	416000	But we found that our universe is basically dominant.
416000	418000	This matter is not anti-matter.
418000	424000	This is also the reason why we can't know.
424000	426000	This is a problem.
426000	428000	But although there are so many questions.
428000	432000	My speech today is mainly focused on dark matter.
432000	438000	If you are interested in this question, you can google it.
438000	441000	You can know more details.
441000	446000	Since we are talking about dark matter, we must do some basic introduction of dark matter.
447000	451000	First of all, let's talk about why we know the existence of dark matter.
451000	455000	It may be easier for everyone to understand the upper left corner of this picture.
455000	459000	The upper left corner is the rotation curve of the star system.
459000	463000	You can see the shape of this picture.
463000	468000	Its tangent axis is a planet
468000	472000	revolving around the rotation speed of the star system.
472000	477000	The horizontal axis is the distance between the star system and the center of the galaxy.
477000	485000	According to Newton's law and Newton's law of gravitation,
485000	495000	we can simply calculate that the rotation speed of the star system should be reduced.
495000	497000	If it is a galaxy, it should be reduced.
497000	504000	But what we find is not the red line, but the white line on the graph.
504000	509000	This may imply that there are some objects that we can't see.
509000	510000	It also provides gravity.
510000	516000	This gravity will produce additional gravitation to keep the star system at a certain speed.
516000	518000	This is the most basic evidence of dark matter.
518000	521000	In addition, there is a so-called gravity path.
522000	525000	For example, if the dark matter is in the universe,
