start	end	text
0	14000	I am today's host, I am Hong Shaoming, I am now working in California as a postdoctoral researcher.
14000	18000	Without further ado, let's introduce today's speaker, Dr. Wei Qunshu.
18000	24000	Dr. Qunshu graduated from the College of Electrical Engineering, and stayed in California to study electrical engineering.
24000	31000	After graduating, he went to UCSD to study biotechnology, and his professor is Professor Zong Ziping.
31000	40000	He is mainly interested in using the perspective of engineering to use brain-to-brain meetings to study human behavior.
40000	53000	Over the past few years, he has published nearly 10 conference papers and two journal papers.
53000	56000	Without further ado, let's listen to his presentation.
56000	62000	The title is Towards Real-World Awareness Estimation Using Brain-Computer Interface.
62000	65000	Let's welcome him.
65000	69000	Thank you Shaoming for the introduction.
69000	85000	Today, I will introduce how we measure brain activity and monitor our alertness using a brain-computer interface.
86000	91000	If you have any questions during the presentation, please feel free to interrupt.
91000	97000	We can easily have a discussion.
97000	102000	First, I will briefly introduce the brain.
102000	109000	Our brain is a tube of about 3 pounds, about 1,000 grams.
109000	118000	The outermost part of the brain has many folds.
118000	125000	These folds are composed of many neurons in the brain.
125000	130000	There are about 8.6 billion neurons.
131000	138000	We know that the brain has very strong computing power.
138000	144000	However, compared to our most powerful computers, its performance is very good.
144000	157000	In terms of energy consumption, it is 100,000 times more efficient than a normal CPU.
157000	163000	Therefore, the brain can only operate at 12 to 25 watts.
163000	168000	This wattage is equivalent to the wattage of a light bulb.
168000	178000	So you can imagine that in some comics, when the character thinks of a point, he will draw a light bulb.
178000	181000	It's actually pretty close.
181000	186000	Because the brain's power consumption is the power of a light bulb.
186000	194000	The structure of the neural network is composed of cells.
194000	196000	There are many vectors.
196000	202000	The vector part collects information from other neural networks around it.
202000	207000	After the information is compiled into the neural network, it will decide whether to power up.
207000	210000	If you want to power up, you can use the axis.
210000	214000	Then you can power up to other neural networks.
214000	221000	In this way, complex networks can be used to control the whole person.
221000	225000	Here is a brain signal that I use more often.
225000	227000	It's called a brain wave.
227000	229000	It's EEG.
229000	233000	Many people have been exposed to EEG.
233000	243000	Especially when a newborn is born, we often do a brain test to see if his vision or hearing is normal.
243000	245000	How does EEG occur?
245000	251000	There are many neural networks in our brain.
251000	253000	Especially the skin.
253000	256000	Many neural networks are arranged.
256000	258000	There are some rules in the structure.
259000	268000	The arrangement of the rules allows the neural network to have an additional effect when it is powering up.
268000	279000	The change in the electrical field can be so great that you can feel the change in the electrical field outside the scalp.
279000	285000	The change in the electrical field becomes our brain wave signal after some processing.
286000	289000	If you have any questions, please feel free to interrupt me.
291000	295000	Our brain wave signal is...
295000	297000	I have a question.
297000	299000	There is a line below.
299000	302000	BlueJeans meeting is sharing your screen with bluejeans.com.
302000	305000	You have to press the hide button.
305000	306000	Oh, okay.
306000	307000	Or you can block it a little bit.
307000	308000	I'm sorry.
308000	309000	You can continue.
309000	311000	Thank you.
312000	313000	Okay.
313000	315000	Let's continue.
315000	320000	This is the brain wave signal.
320000	325000	It is a real-time signal.
325000	329000	You can see that it is like a time series.
329000	331000	It is a time series.
331000	341000	In order to measure the whole brain, we will try to arrange electrical fields outside the scalp.
341000	347000	So we will have a lot of brain waves on both sides at the same time.
347000	356000	We will analyze the energy of brain waves in terms of frequency.
356000	364000	The frequency depends on whether the signal is fast or slow.
364000	368000	The high frequency is the fast part.
368000	370000	The low frequency is the slow part.
370000	374000	So we will divide delta.
374000	378000	It is a low frequency activity of less than 3.5 Hz.
378000	382000	It is a very slow vibration.
382000	390000	If you go higher, it will be divided into theta wave, alpha wave, or beta wave.
390000	394000	The higher the frequency, the faster the vibration.
394000	398000	Our brain can be divided into different bands.
398000	404000	By observing the energy of the band, we can get a lot of information.
405000	411000	Let me introduce the location of the channel of the brain.
411000	415000	It has a standard way of dividing.
