start	end	text
0	15000	Welcome everyone to today's TARA speech. First of all, welcome everyone to listen to Huang Kun-hsieh to tell us about Python to play with particles physics experiment.
16000	29000	TARA is an online platform. Our goal is to use a free and cross-border way to connect young people all over the world who are engaged in research.
29000	39000	We can quickly share each other's results and ideas. We have a website and a fan group. The name of our fan group is Project TARA.
39000	42000	You can find us on Facebook.
42000	47000	Let me introduce today's speaker. Today's speaker is Huang Kun-hsieh.
47000	55000	It's quite interesting. When I was preparing to introduce the speaker, I did a little calculation. I think we have known each other for 10 years.
56000	61000	Huang Kun-hsieh studied at the University of Taiwan Physics Department and the University of Taiwan Physics Institute.
61000	68000	When he was in the doctor's class, he went to the University of Kyoto. During this period, he was engaged in the study of micro-needle telescope.
68000	76000	Later, he did T2K at the University of Kyoto. So Huang Kun-hsieh can be said to be a micro-needle expert.
77000	88000	After Huang Kun-hsieh got his doctorate, he went to Bell Institute to do hardware development. He is now a post-doctorate researcher.
88000	92000	The topic he will talk to us today is to use Python to play the particle physics experiment.
92000	97000	An example of using a convolutional neural network to correct gamma-ray energy measurement.
98000	103000	Without further ado, let's give a round of applause to welcome Huang Kun-hsieh.
103000	111000	Sorry, I forgot to say one thing. Please mute your microphone if you don't want to speak in the speech.
111000	117000	But when you want to applaud, you have to turn on the microphone so that our speaker can feel your enthusiasm.
117000	121000	Let's welcome Huang Kun-hsieh.
122000	127000	Thank you for the introduction. I have been a speech therapist for a long time.
127000	132000	I am very happy that you gave me the opportunity to speak here today.
132000	140000	Actually, my speech was shot in Taiwan.
140000	149000	So I'm sorry. If you have been to Taiwan, you may have heard the same thing over and over again.
149000	154000	My name is Huang Kun-hsieh. I am a post-doctorate student at Taiwan University.
154000	159000	I am currently working on a project called Bell 2.
159000	163000	I am currently doing a particle physics experiment.
163000	165000	I am studying the field of particle physics.
165000	168000	In the particle physics experiment, you may take a lot of data.
168000	170000	If you take data, you may need to do data analysis.
170000	177000	If you do data analysis, it is a very good language.
177000	182000	If you want to download it, you can download it here.
182000	186000	This is my own photo.
186000	190000	I am currently doing post-doctoral research at Taiwan University.
190000	195000	I am currently doing research in the field of particle physics.
195000	198000	I also like to use my voice.
198000	202000	What is my research?
202000	206000	The screen you are sharing is your PowerPoint.
206000	209000	It's not the part you play. You may have to re-share it.
209000	212000	Then choose that.
212000	225000	Oh, okay. Let's do it again.
225000	226000	Is there such a thing?
226000	229000	Choose the screen.
229000	230000	Yes.
230000	232000	Yes?
232000	238000	Okay.
238000	242000	What I'm doing now is in a Japanese studio.
242000	246000	There is an organization called KK.
246000	251000	If you want to listen to Japanese, it's Koe-nen-ruki-kasoku-ken-kyu-kiko.
251000	253000	It's simply called KK.
254000	258000	There is such a big research device called Bell 2.
258000	260000	It's a detector.
260000	264000	Mainly, we use Python to simulate and analyze.
264000	266000	There is also some data storage.
266000	269000	And even push the data to the whole world.
269000	273000	Because we have Google Earth that pushes the data to the whole world.
273000	276000	They will provide their computing resources.
276000	280000	Then I will talk about how to push the data to the whole world.
280000	283000	The first thing to talk about is particle physics.
283000	286000	I'm sorry.
286000	289000	Because the data I prepared is scientific.
289000	291000	Some people may not know what particle physics is.
291000	293000	So let's talk about what particle physics is.
293000	295000	At the beginning, for example, water molecules.
295000	296000	You must have heard of water molecules.
296000	298000	High school physics should have heard of water molecules.
298000	299000	There will be atoms in it.
299000	304000	Atoms will have electrons and the nucleus inside.
304000	308000	Electrons are the so-called basic particles.
308000	312000	In addition, you will find neutrons and neutrons in the nucleus.
312000	316000	Neutrons and neutrons are composed of quarks.
316000	322000	In fact, the most basic discovery is that there are electrons and quarks.
322000	329000	To form the universe we see in our daily lives.
329000	338000	Particle physics is to study the interaction between these basic particles and their group.
