start	end	text
0	10000	Hi, everyone. We're going to have the fourth Q&A session this year.
10000	22000	We're honored to have Zhang Yanping here to talk about positive emotions and human relations.
22000	33000	Zhang Yanping is a Ph.D. candidate at UNC-Chapel Hill.
33000	39000	He has been studying at UNC-Chapel Hill since 2013.
39000	45000	Prior to that, he obtained a Ph.D. and a master's degree in psychology at NTU.
45000	64000	His research focuses on positive psychology, positive emotion, gratitude, self-transcendent emotion, well-being, cultural psychology, and moral psychology.
64000	78000	His research includes emotional communication, interpersonal dynamics, Taiwanese indigenous psychology, prosocial behavior, political participation, and moral judgment.
79000	92000	As you can see, Zhang Yanping's research focuses on social psychology and social participation.
92000	108000	Today, he's going to talk about emotional and interpersonal dynamics.
108000	112000	Let's welcome him.
113000	115000	Thank you, everyone.
115000	117000	First, I'd like to say I'm sorry.
117000	119000	I thought I'd be here next week.
119000	126000	So the content I'm going to talk about today is a little different from what I wrote for Zhang Yanping.
126000	128000	Wait a minute. I'll close the door.
128000	140000	I was going to prepare a more general content next week.
140000	145000	I'm going to talk about a lot of projects that I've done before.
145000	152000	I'm not going to go into too much detail, but I'm going to put them all together and talk about a big direction and what to do next.
152000	154000	But I got the time wrong.
154000	156000	So I didn't prepare that.
156000	162000	So what I'm going to talk about today is one of the projects I was going to cover.
162000	165000	But I'm going to talk about this project.
165000	170000	The bad thing is that I'm going to talk about it in more detail.
170000	174000	So if you have any technical questions, you can just ask.
174000	183000	The good thing is that I'm not going to talk about the studies I shared last spring.
184000	188000	So if you've heard of it, you won't repeat it.
188000	190000	This is the first one. I'm sorry. I got the time wrong.
190000	192000	The second one.
192000	195000	The second one is when I was talking about my research interests.
195000	198000	It sounds like a lot of answers.
198000	200000	It sounds like independent things.
200000	202000	But in fact, it's like this.
202000	204000	Imagine.
204000	209000	I'm actually interested in how people communicate and understand each other.
209000	211000	What the other person wants to do.
211000	212000	Who is the other person?
212000	214000	What is the other person thinking?
214000	216000	Wait a minute.
228000	232000	In this process of interpersonal communication,
232000	235000	In the past, people have been pointing out a lot.
235000	239000	That is to say, our speech and communication.
239000	243000	In fact, non-verbal communication is a big part of it.
243000	245000	And it's not just a big part.
245000	247000	In fact, it's a relatively large part.
247000	249000	Compared to verbal communication.
249000	253000	For example, if I say hello to everyone today.
253000	255000	Thank you very much for coming to my speech.
255000	256000	But from start to finish.
256000	258000	Then you must find it strange.
258000	259000	But in fact, that's a constant behavior.
259000	260000	I didn't even move.
260000	262000	You can just say that my hands are stiff.
263000	265000	But in fact, it's not.
265000	266000	Just that little action.
266000	269000	The whole process of communication has changed.
269000	275000	What I'm interested in is non-verbal communication.
275000	278000	Non-verbal communication is largely related to emotions.
278000	281000	If I'm angry, I'll just crack my teeth.
281000	283000	Even if I haven't hit you yet.
283000	285000	I also crack my teeth.
285000	289000	I don't know if you've seen that.
290000	295000	There is a very famous photo of an Olympic gold medalist.
295000	297000	He once won a silver medal.
297000	299000	I don't remember his name.
299000	301000	Very famous recently.
303000	306000	Then his mouth is on one side of his mouth.
306000	307000	Because he's very ungrateful.
307000	309000	That's actually a content performance.
309000	311000	Will it affect
311000	313000	If you're talking to your partner.
313000	315000	It's like this.
