start	end	text
0	3000	Thank you all for participating in today's Project T.R.
3000	5000	I am the host today.
5000	8000	I am Kao-Hsien, Ph.D. student at RUAN University.
8000	11000	Today's speaker is Jin Jiang.
11000	17000	Jin Jiang is a PhD candidate at MIT.
17000	19000	Before joining MIT,
19000	24000	he obtained a master's degree in Electrical Engineering at NTU.
24000	30000	His research focuses on human decision-making
30000	35000	and how people interact with social media.
35000	41000	Especially when social media is full of real and fake news,
41000	47000	how do people interact with social media?
47000	55000	How does human behavior evolve into a large-scale social phenomenon?
55000	58000	These are the topics he is interested in.
58000	63000	He will use different theories and research methods
63000	66000	to explore his research interests.
66000	68000	Today, we invite him to talk about
68000	70000	the topic of persuasion,
70000	73000	strategic news sharing,
73000	77000	and social media.
77000	79000	Without further ado,
79000	82000	let's welcome Jin Jiang to give his presentation.
82000	84000	Jin Jiang, the floor is yours.
84000	87000	Thank you Kao-Hsien for the introduction.
87000	88000	Hello everyone.
88000	90000	I am currently studying at MIT.
90000	92000	This is my last year.
92000	95000	Today, I would like to introduce my project,
95000	99000	Persuasion, News Sharing and Cascade on Social Networks.
100000	105000	This is a joint work with my postdoc, Amir Ajalloh,
105000	107000	and my advisor, Ali Jawadbhai.
107000	110000	I am currently studying at the Engineering School.
110000	114000	However, I focus on Economic Theory.
114000	117000	Let's get started.
117000	122000	Ever since social media was invented,
122000	127000	people have changed the way they consume news.
127000	130000	One-fifth of Americans say
130000	133000	they usually receive news from social media.
133000	140000	Social media also promotes peer-to-peer interaction.
140000	144000	It also accelerates the flow of information.
144000	146000	We also found that
146000	147000	on social media,
147000	150000	you are passively receiving information.
150000	155000	Your friends decide to share news with you
155000	159000	or these algorithms promote news to you.
159000	164000	They subjectively choose to receive news from you.
164000	166000	On social media,
166000	169000	they want to make money.
169000	175000	When they distribute advertisements,
175000	181000	they may also amplify misinformation on the platform.
182000	186000	Today, I want to study
186000	189000	why people share news.
189000	193000	This is a very important question in the academic world.
193000	197000	Do people share news to tell others
197000	199000	or express their opinions?
199000	202000	Or do they want to find a peer?
202000	206000	Or do they want to persuade others?
206000	207000	In addition,
207000	210000	what kind of news
210000	214000	will be popular on social media?
214000	216000	For example,
216000	219000	what is the impact of credibility?
219000	221000	How does it affect
221000	232000	the characteristics of society?
232000	237000	From an economist's perspective,
237000	240000	some psychologists study
240000	243000	whether there is any behavioral bias.
243000	246000	Political scientists focus on misinformation
246000	249000	and political influence.
249000	251000	In the case of two parties,
251000	254000	they may be more willing to share
254000	257000	news related to their party.
257000	261000	How do they view news related to their party?
261000	263000	Is it more credible or less?
263000	265000	In this field,
265000	267000	they still rely on CS to help.
267000	270000	They still do computational things.
270000	274000	My question today is
274000	277000	based on a question.
277000	280000	If the motivation of sharing news
280000	285000	is to get your followers closer to you,
285000	287000	what will happen?
287000	289000	This model is a what-if question.
290000	293000	If the motivation is to get your followers
293000	295000	closer to you,
295000	299000	what kind of news will you share?
299000	301000	And what kind of news
301000	305000	will be popular in what kind of society?
305000	308000	OK.
308000	311000	As I said,
311000	313000	I'm using an economist's perspective
313000	315000	to answer this question.
315000	318000	Next, I will talk about this model
318000	320000	using the so-called competition theory.
320000	321000	In addition,
321000	323000	this work has been submitted
323000	325000	to the Journal of Economics Theory.
325000	328000	There is a link of SSR here.
328000	330000	If you are interested in the journal version,
330000	333000	please scan the QR code.
333000	335000	First, I will talk about
