start	end	text
0	20580	大家好,歡迎大家來到今天的Chart Talk。我們今天請到的講者是何書宇,書宇現在是在日本東北大Tohoku University做理論物理,專攻的是Dark Matter方面的理論,Theology。
20580	38540	何書宇是我其實蠻多年的好友,他是師大物理系,師大物理系畢業之後到台大物理的碩班做Dark Matter,跟的是何曉光老師。
38540	52140	然後後來就先來到了美國Caltech,然後就跟我認識,現在在Tohoku做念PhD。我不知道,這樣講應該沒錯,但是應該快要畢業了,對吧?
82140	84700	歡迎何書宇給我們帶來今天精彩的演講。
112640	124300	理論物理方面的工作,但是應該常聽到這個名詞,可能透過一些台灣的節目有可能聽到Dark Matter這個名詞。
126040	136920	另外看到前面這個Hidden monopole,monopole的話中文翻譯就是詞單詞,如果你學過電子學,你就知道我們一般討論電子學的時候是沒有詞單詞的。
137920	154920	Hidden的話我一定會再做解釋是什麼意思,然後還有在Action,Action在我上次演講我基本上有做蠻長的介紹,但是我今天因為時間關係,我應該會主要focus在Dark Matter的背景介紹,所以Action我可能會稍微提一下。
155920	166920	在這之後我會講一下這個model的細節,還有一些運用在所謂的Direct Search,就是直接探測Dark Matter的實驗,還有所謂的Bing Dong Experiments。
167920	169920	這些細節我會在最後稍微提及。
170920	173920	我們直接進入Dark Matter的介紹。
174920	181920	你現在在螢幕上看到的是我們所謂的粒子物理標準模型,一般就叫做Standard Model。
182920	188920	這個模型目前被大量的實驗驗證是非常精確的理論。
189920	198920	簡單來看,你可以看到這個圖裡面,有看到這個E,這個E就是所謂的Electron,就是大家比較熟悉的基本粒子。
199920	206920	那往上比較重點還有所謂的μ,還有τ,這些粒子事實上是很容易可以在宇宙實現找到的。
207920	212920	那另外下面有μE,μμ,還有μτ,是所謂的微中子。
213920	218920	這個是一般可能比較不熟悉,但是我今天演講是不會touch這個部分。
219920	230920	那大家有看到上面這個紅色部分是所謂的quarks,那像大家比較熟悉的像這個直子中子,基本上他們不是基本粒子,他們是由這些quarks構成的。
231920	239920	譬如說這個proton是由兩個up quark跟一個d quark構成的,也就是圖形上的u跟d。
240920	242920	那陸續還有更重的quarks。
243920	255920	那圖的右邊這個紫色部分是所謂的基本作用力,那大家比較熟悉的是γ,也就是右上角這個particle,那是我們比較熟悉的電磁作用。
256920	266920	那下面這個g呢是所謂的強作用的媒介,然後z跟w是所謂的弱作用的媒介,那這幾個particle可能大家比較不常聽到。
267920	273920	那基本上今天我是比較focus on這個photon的部分,等一下會介紹所謂的hidden photon。
274920	281920	那在這個圖形中間有一個是這個higgs,就大家應該可能常聽到這個新聞有報告這樣子。
281920	287920	這個higgs就是我們所謂的origin of mass,就是質量的來源,就是為什麼物質有質量。
288920	302920	這個higgs基本上在很久很久以前就已經被預測出應該存在,原因是因為在沒有發現它之前,歷史為標準模型已經被很多實驗驗證,是很精確的理論了。
303920	308920	但是就是說這個higgs其實沒有被發現,所以這就是給我們動機要去找它這樣子。
309920	316920	所以後來才會有在歐洲蓋一個這個大型強子對撞機,也就是所謂的LHC,去找它這樣子。
317920	328920	那中間慶幸的是花了那麼大筆的科學經費,最後真的是有找到它,大概在應該是2013年吧,如果我沒記錯吧,六年前還是五年前。
329920	336920	那個我不知道,應該是2014,但沒有,sorry,我要講的是我們應該看得到你的滑鼠,所以你想要移動你的滑鼠是可以的。
337920	340920	你可以試試看,你可以用,如果你要的話。
341920	342920	謝謝張勇的建議。
343920	348920	那就是higgs在2014吧,就被發現了這樣子。
349920	354920	然後當然好像就隔年吧,就好像就頒了諾貝爾獎給higgs這樣子。
355920	358920	所以等於是說標準模型最後一個拼圖就被找到了。
359920	366920	那雖然說標準模型這麼成功,可是呢還是它還是有很多問題是它無法解釋的。
367920	378920	那些問題我已經列在這個投影片的右邊有蠻多的,像第一個所謂的暗物質,那我等一下會講為什麼會有暗物質這個東西。
379920	384920	那另外還有所謂的暗能量,暗能量目前是一個可以解釋為什麼宇宙會加速膨脹的。
385920	390920	就是我們觀測到宇宙事實上它不是靜態的,它是不斷的往外擴張這樣子。
391920	399920	那目前唯一能解釋的就是暗能量,那簡單講說它可能會提供一些類似反重力的感覺。
400920	405920	那也有所謂的量子重力,還有所謂的層級問題,強CP問題,還有圍中的質量。
406920	412920	還有甚至所謂的縱值不對稱性,也就是說我們宇宙有所謂的反物質跟正物質。
413920	423920	但是我們發現宇宙基本上是dominant by這個物質而不是反物質,那這也是目前沒辦法知道原因是什麼。
424920	425920	這也是一個問題。
425920	431920	不過呢,雖然有這麼多問題,我今天的演講主要一樣是專注在這個暗物質。
432920	439920	那其他有這個問題大家有興趣可以自己上Google回擊一下,可以知道一些更多細節。
441920	445920	那既然要談到暗物質,我必須要做一些暗物質的基本介紹。
446920	449920	那首先呢,就講說為什麼我們知道暗物質的存在。
450920	454920	那大家可能比較容易理解的是左上角這個圖。
455920	458920	這個左上角是所謂這個星系的旋轉曲線。
459920	470920	那大家可以看到這個圖上這個圖形,它的牽直軸是可能某一個星球繞著這個星系旋轉的這個旋轉速度。
471920	476920	那橫軸是這個星星離這個銀河系中心的距離。
477920	484920	那根據我們大家可能國中或高中都學過這個牛頓的譯學,還有牛頓的萬有引力定律嘛。
485920	495920	我們可以簡單的算出來說,這個星系繞著銀河系中心的旋轉速率應該要減少,如果距遠的話應該要減少。
496920	503920	但是我們發現到的不是紅色這條,而是圖形上這個白色這個major這條速度。
504920	515920	也就是說,也許有一些我們看不到的物質,它也提供重力,然後這個重力會產生額外的向心力來讓這個星系維持這麼一定的速度。
516920	517920	所以這是暗物質最基本的一個證據。
518920	529920	那另外還有所謂的重力透鏡,也就是說如果暗物質對待這個宇宙的話,那它會造成一些星星發光,這些光會被暗物質扭曲。
529920	536920	然後我們可以看到像圖形中這種,也是圓環形的這個效應,那這是所謂的重力透鏡效應。
537920	546920	然後另外有左下角這個CNB spectrum,那這個是比較細節一點,我就先跳過。
547920	558920	那最右下角這個是蠻有名的,因為曾經有人一度考慮,就是說也許沒有暗物質的存在,而是說我們這個牛頓的定律需要修正。
559920	561920	就是所謂的Modified Gravity Theory。
562920	567920	那Breit-Krause算是一個比較prefer暗物質的一個證據。
568920	575920	那你可以看到這個Breit-Krause這個圖形上面有一個粉紅色跟算是偏紫色的部分嘛。
576920	588920	那偏紫色的部分基本上是一些會提供重力的物質,也就是說剛才那個我講到上面的重力透鏡嘛,我們可以透過重力透鏡知道一些可能看不到的一些物質,它會提供重力。
589920	591920	就是圖形中那個紫色部分。
592920	600920	那紅色部分是一些我們知道的可見物質,可能是電子或是光之類的,我們可以透過望遠鏡或是衛星去探測。
601920	605920	那我們發現說這兩個Krause呢,剛好在對撞。
606920	611920	那對撞之後我們發現紅色部分呢,會有交互作用。
612920	620920	那偏紫色部分會剛好會直接互相穿過去,也就是它完全不會跟我們這些matter作用。
621920	627920	也就是說這可能也是提供一個證據說宇宙中存在一種很微弱的物質,那就稱為暗物質這樣子。
628920	636920	Anyway,反正就是說我們從實驗或是宇宙觀察發現到很多很多的證據。
636920	641920	所以暗物質不是只有一個evidence,它的evidence是非常overwhelming的。
643920	649920	那既然我們相信暗物質的存在呢,我們就要去測量它一些數據嘛。
650920	658920	那目前根據我們的所謂的宇宙學標準模型,我們剛講的粒子物理有一個標準模型,宇宙學有一個標準模型。
659920	662920	那在那個模型之下呢,我們去做測量。
663920	673920	那我發現目前宇宙的能量比例是像圖中,就是目前大家在螢幕上看到這張我們一般叫做宇宙派啦,叫Cosmic Pi。
674920	682920	那我們發現說宇宙的70%的能量是由這個暗能量所貢獻的。
683920	686920	那暗物質呢,它是貢獻大概約四分之一。
687920	693920	那僅有5%是被這個所謂的Baryon所貢獻。
693920	701920	也就是說我們宇宙目前大部分能看到的所謂的星系這些東西,它只佔total能量只有5%而已,就相當少。
703920	711920	Anyway,反正我們今天演講的重點是暗物質嘛,所以大家只要知道暗物質其實佔宇宙大概約四分之一的能量。
713920	716920	那暗物質它有什麼性質需要滿足呢?
716920	728920	首先我剛剛講過說,因為暗物質我們看不到它嘛,所以它不可以具有電磁交互作用,否則我們應該很容易就可以用儀器去測到這個signal。
729920	733920	所以這告訴我們暗物質呢,它應該是個電中性的,它不能帶電。
734920	739920	那再來就是它的這個年齡呢,必須要比宇宙年齡要大,或是說它很穩定。
