start	end	text
0	2000	好
2000	4000	F
4000	6000	啊
6000	8000	我忘記
8000	10000	那個
10000	12000	動一下
12000	14000	好
24000	26000	好
26000	28000	所以我今天要講的題目啊
28000	30000	是
30000	32000	Dark Matter Super CDMS
32000	34000	就是我現在在做的實驗
34000	36000	然後還有
36000	38000	Super Conductive Future of Particle Physics
38000	40000	就是
40000	42000	主要是我現在在做的事情
42000	44000	然後
44000	46000	好 下一頁
46000	48000	今天講的內容會分成兩個部分
48000	50000	第一個部分就是
50000	52000	比較屬於物理的部分
52000	54000	就是我會介紹Dark Matter
54000	56000	主要會
56000	58000	Focus在
58000	60000	就是Direct Detection
60000	62000	的實驗的部分
62000	64000	然後從它的物理是什麼
64000	66000	然後從這個物理啊
66000	68000	那現在這個Field的狀況是什麼
68000	70000	大家的目標是什麼 困難是什麼
70000	72000	怎麼樣去做這個實驗 怎麼測到這個東西
72000	74000	是應該會比較可譜
74000	76000	比較有趣一點
76000	78000	然後第二個部分呢 就會是我自己的工作
78000	80000	那就是蠻R&D的
80000	82000	可能對Technology
82000	84000	有興趣的人會比較有興趣
84000	86000	但是它其實應該是會很相關的啦
86000	88000	好
88000	90000	那個我螢幕有點Lag
90000	92000	首先呢 就是因為我們之前
92000	94000	賴昀聰已經介紹過啦
94000	96000	就是很正式的介紹過了
96000	98000	什麼是現在我們對於
98000	100000	基本粒子的一個
100000	102000	Model 還有一個理論的基礎
102000	104000	所以我這邊就很快的把它帶過
104000	106000	所以基本上呢 簡而言之
106000	108000	看得到我的滑鼠嗎
108000	110000	看得到我滑鼠嗎
110000	112000	看得到喔
112000	114000	我們有很多的粒子
114000	116000	基本粒子 那我們認為這些基本粒子
116000	118000	是構成我們所已知的宇宙
118000	120000	我們現在已知的所有的
120000	122000	的
122000	124000	構成的基本物質
124000	126000	可是呢 因為一些原因
126000	128000	我們認為這宇宙中還有我們不知道的
128000	130000	東西 沒辦法用這個模型
130000	132000	解釋 但是無論如何
132000	134000	這個叫做Standard Model
134000	136000	它是叫做標準模型 是最好的
136000	138000	Description
138000	140000	那如果大家對這個有興趣的話
140000	142000	可以去Wikipedia自己看
142000	144000	就是會有什麼六個夸克
144000	146000	然後什麼三個Lepton
146000	148000	三個Lepton的Neutrino
148000	150000	然後還有X啊 什麼之類的
150000	152000	好
152000	154000	那今天我要講的重點
154000	156000	會Focus在
156000	158000	現在圖上看到的這幾顆
158000	160000	紅色的那個是
160000	162000	子子
162000	164000	藍色那個是中子 基本上這是
164000	166000	對我們來說是最重要的粒子
166000	168000	因為老實說 你在生活中
168000	170000	你最有興趣的東西 呼吸的東西
170000	172000	構成你自己的東西
172000	174000	也就是這兩種 沒有別的
174000	176000	然後呢
176000	178000	這就是三種
178000	180000	那還有一個很重要的在上面
180000	182000	就是那個白色的鬼 它叫做光子
182000	184000	但其實光子
184000	186000	聽起來很玄 很像什麼雷射槍之類的
186000	188000	但重點呢 就是
188000	190000	所有的我們已知道的
190000	192000	這些正常的我們常見的物質
192000	194000	它都會跟光子作用
194000	196000	直接或間接 OK
196000	198000	所以呢
198000	200000	這些東西在彼此
200000	202000	像丟棒球一樣交換
202000	204000	光子 它們就會達到
204000	206000	能量的平衡 就是基本上是一個熱平衡
206000	208000	那在達到熱平衡之後呢
208000	210000	所有東西都會根據它自己的溫度
210000	212000	會有黑體輸射 OK
212000	214000	這個是非常重要
214000	216000	因為這是Dark Matter很重要的一個概念
216000	218000	因為我家人常常問我說 欸 Dark Matter是不是黑豆嗎
218000	220000	其實不是 就是
220000	222000	待會你們就知道為什麼
222000	224000	好 下一頁
224000	226000	真的很Lag
226000	228000	好 這是我們平常看到的宇宙
228000	230000	就是我們放眼望去
230000	232000	整個宇宙都是黑的 OK
232000	234000	然後你就會說 那為什麼我們覺得
234000	236000	會有這個
236000	238000	就是所有東西都是我們知道的物質
238000	240000	然後會有交換光子
240000	242000	像丟棒球一樣的效果呢
242000	244000	這是實際上
244000	246000	我們如果用很好的儀器
246000	248000	看到的宇宙 像這樣
248000	250000	整個宇宙基本上都是亮的
250000	252000	現在你在圖上看到的
252000	254000	不同的顏色
254000	256000	基本上就跟我剛剛說的黑體輸射一樣
256000	258000	它對應到不同的溫度
258000	260000	OK 你現在看到那個中間
260000	262000	那一道最亮的啊
262000	264000	它是那個Galactic Plane
264000	266000	就是那邊很多星球
266000	268000	然後很多能量很高的粒子在那邊撞來撞去
268000	270000	所以就會有很高的能量
270000	272000	好 然後
272000	274000	我的滑鼠
274000	276000	好 你看到這個後面這個部分
276000	278000	很紅啊 就是
278000	280000	這邊能量很低 這邊就是沒有
280000	282000	前景 它只有背景
282000	284000	那背景是宇宙的整個背景
284000	286000	就是宇宙背景輻射 它很冷
286000	288000	它只有3度K
288000	290000	但是基本上它有溫度
290000	292000	所以我們都還看得到
292000	294000	OK
294000	296000	那這張圖基本上就是
296000	298000	把顏色都填滿了
298000	300000	那我們怎麼會說還有什麼暗物質
300000	302000	我們不知道的東西呢
302000	304000	下一頁
304000	306000	OK 因為曾經有一個
306000	308000	非常有智慧的人呢 他跟我們講說
308000	310000	Vader was seduced by
310000	312000	那行字擋住了
312000	314000	討厭
314000	316000	The dark side of the force
316000	318000	The force is what gives Jedi his power
318000	320000	It's an energy field created by all living things
320000	322000	It surrounds us
322000	324000	It permits us
324000	326000	It binds the galaxy together
326000	328000	這聽起來很confusing
328000	330000	大家不知道這到底要講什麼
330000	332000	所以我幫大家畫重點
332000	334000	It surrounds us
334000	336000	The dark side of the force surrounds us
336000	338000	We live together
338000	340000	這個句話應該是1976年
340000	342000	說的吧
342000	344000	所以大家可以想像
344000	346000	這大概就是我們開始對Dark Matter產生興趣的
346000	348000	那個時代
348000	350000	這個statement是正確的
350000	352000	我們大概就是那個時代開始覺得有Dark Matter
352000	354000	OK
354000	356000	好
356000	358000	實際上呢
358000	360000	Obi-Wan Kenobi講這個話的意思是什麼
360000	362000	這意思是這樣
362000	364000	這邊現在有一張圖
364000	366000	最亮的地方就是我們的
366000	368000	我們的銀河系的中心
368000	370000	然後橫軸呢
